date,temperature_2m_mean,temperature_2m_max,temperature_2m_min,precipitation_sum,windspeed_10m_max,weather_key
2020-10-18,9.1,14.0,4.7,7.4,33.1,169
2021-05-02,21.9,28.0,16.0,0.1,38.5,170
2021-05-27,12.5,14.2,11.4,16.2,36.6,171
2021-09-21,19.2,22.6,16.9,16.8,31.0,172
2021-09-24,17.9,23.9,12.0,0.8,35.9,173
2021-11-20,4.2,8.8,1.4,0.0,23.2,174
2020-04-26,7.2,11.5,4.4,0.0,28.1,175
2020-05-28,20.6,24.2,14.7,13.8,21.9,176
2020-09-30,13.6,18.3,10.9,0.4,43.2,177
2020-11-24,3.7,6.5,1.6,11.5,29.5,178
2021-05-24,22.2,30.4,13.1,0.2,27.4,179
2021-09-03,21.3,24.9,16.9,1.3,19.1,180
2021-11-02,3.7,7.4,0.6,0.0,25.7,181
2020-11-16,3.3,7.8,-0.6,0.8,29.3,182
2021-09-08,19.9,24.8,15.4,0.0,27.0,183
2020-06-03,22.9,26.0,21.0,1.6,22.7,184
2020-04-24,5.6,7.2,4.3,1.0,22.3,185
2020-08-08,25.0,31.7,18.6,0.0,25.5,186
2020-11-13,3.0,6.7,-1.1,0.6,25.0,187
2021-02-28,5.6,12.3,1.2,0.9,36.0,188
2021-04-15,5.6,8.8,2.3,0.0,24.3,189
2020-04-12,12.4,18.4,8.1,3.1,26.7,190
2020-06-16,19.7,25.2,14.2,0.0,21.6,191
2020-08-11,22.2,25.3,18.9,0.0,15.2,192
2020-08-19,20.9,24.3,16.2,0.0,22.4,193
2021-05-31,16.7,21.5,12.1,0.5,21.9,194
2021-11-28,-0.4,2.5,-2.9,0.0,31.7,195
2020-08-23,25.2,31.6,19.6,0.7,19.2,196
2020-11-10,19.0,22.8,10.6,7.6,41.7,197
2021-06-25,22.8,26.5,21.1,45.6,31.8,198
2021-08-18,24.0,26.2,21.7,6.7,14.4,199
2021-05-29,10.1,13.5,7.3,0.0,31.5,200
2021-11-03,3.0,6.6,-0.7,0.0,14.3,201
2020-10-17,10.2,16.6,3.2,0.0,42.8,202
2021-08-28,26.9,32.1,23.5,4.3,21.3,203
2021-11-29,0.0,3.7,-4.7,0.6,27.1,204
2021-12-18,2.2,4.1,-1.1,7.2,26.6,205
2020-06-19,25.5,30.9,19.1,0.0,21.2,206
2020-07-25,25.2,30.3,18.9,0.0,14.8,207
2020-10-19,6.7,9.9,4.8,5.4,23.0,208
2020-11-29,5.3,9.3,2.5,0.0,28.0,209
2020-05-23,17.2,22.2,10.6,19.0,23.6,210
2021-02-25,-3.3,2.6,-9.2,0.0,16.0,211
2021-02-26,-1.9,3.5,-9.4,0.4,18.4,212
2020-05-31,12.2,14.6,9.5,0.0,22.3,213
2020-12-23,7.7,11.7,1.9,5.7,46.2,214
2021-03-06,-0.4,3.9,-4.7,0.0,18.0,215
2020-04-15,0.3,3.7,-2.8,2.5,25.4,216
2020-07-13,21.5,24.8,16.9,0.6,16.0,217
2021-01-20,-4.6,0.1,-9.5,0.0,37.4,218
2021-06-17,24.6,33.3,14.5,0.0,29.5,219
2021-07-16,19.7,20.5,18.3,5.4,23.3,220
2021-10-28,11.4,13.3,9.1,10.3,28.5,221
2020-11-01,4.0,11.6,-0.4,0.0,41.2,222
2020-12-29,-3.8,-0.5,-8.3,4.2,33.4,223
2021-12-02,8.7,13.2,3.0,0.8,33.8,224
2021-03-19,1.3,3.9,-1.3,0.0,29.3,225
2020-12-26,-4.0,1.3,-7.3,0.0,26.9,226
2021-04-02,2.7,8.8,-4.8,0.0,23.5,227
2021-07-22,22.8,27.3,17.5,0.4,16.6,228
2020-05-12,7.8,14.0,2.9,0.0,21.0,229
2021-01-07,1.6,3.0,-0.2,0.0,19.9,230
2021-04-11,8.5,11.1,5.9,0.1,19.9,231
2021-07-13,21.9,25.2,19.6,18.8,16.5,232
2021-07-03,22.1,29.7,13.7,0.0,20.3,233
2021-08-15,21.2,24.4,16.8,0.0,16.8,234
2021-11-04,3.4,7.8,-0.8,0.0,13.2,235
2020-07-01,23.6,26.3,21.4,0.0,19.1,236
2020-07-24,22.4,25.5,18.1,0.0,16.2,237
2021-03-10,14.6,19.0,11.1,0.3,41.6,238
2020-06-26,23.2,30.1,17.7,18.9,29.6,239
2021-05-09,6.5,9.3,4.1,20.7,31.1,240
2020-12-25,-9.1,-5.4,-12.6,0.2,28.7,241
2021-06-05,27.4,33.2,19.9,0.0,30.8,242
2021-06-10,20.4,24.7,16.6,0.0,15.0,243
2021-06-28,23.2,26.0,20.1,11.4,15.7,244
2021-02-19,-10.5,-7.5,-14.5,0.0,21.3,245
2021-04-16,5.7,8.2,3.6,0.0,17.7,246
2021-06-24,22.0,25.4,19.1,2.6,39.4,247
2020-08-26,27.9,33.6,22.6,0.0,24.4,248
2021-02-22,0.2,2.8,-2.9,1.0,35.3,249
2021-06-19,24.9,33.4,18.2,0.2,31.4,250
2021-08-07,24.4,29.6,19.1,13.3,21.2,251
2021-11-07,10.8,17.0,5.8,0.0,25.5,252
2020-04-19,7.8,13.5,3.4,0.2,31.2,253
2020-09-24,19.7,25.6,14.1,0.0,20.4,254
2021-07-18,21.6,24.4,18.8,0.9,17.9,255
2021-09-16,20.9,26.3,14.5,0.0,17.7,256
2021-12-07,-6.8,-3.6,-9.9,0.0,23.1,257
2020-08-30,21.1,23.1,18.8,0.0,19.1,258
2021-02-18,-7.1,-5.2,-9.2,1.1,14.5,259
2021-06-02,17.4,21.2,12.7,0.0,20.2,260
2020-04-27,10.8,18.4,2.1,3.2,30.4,261
2020-07-23,22.0,24.2,19.5,0.1,20.0,262
2020-08-29,23.7,27.1,20.4,0.5,26.3,263
2020-10-13,13.3,20.2,7.6,0.0,36.2,264
2021-02-13,-13.1,-10.6,-16.9,3.4,27.1,265
2021-10-19,14.8,19.9,11.2,0.0,19.8,266
2021-07-26,26.7,31.9,20.0,0.0,15.3,267
2020-06-08,23.0,28.5,17.0,0.0,20.7,268
2020-04-28,15.0,19.6,8.2,11.0,25.6,269
2020-10-27,2.6,3.1,1.7,2.4,16.1,270
2020-11-11,4.4,8.2,1.4,0.0,35.9,271
2021-03-26,3.2,4.8,1.7,4.3,35.3,272
2021-06-08,23.4,27.3,19.8,3.7,19.4,273
2020-07-09,28.6,33.8,24.4,3.1,24.5,274
2020-05-25,23.3,27.4,19.6,1.1,18.8,275
2020-11-27,3.9,7.6,0.5,0.0,18.0,276
2021-02-03,-6.3,-1.7,-11.4,0.0,20.7,277
2021-03-16,1.5,3.5,-0.5,0.0,15.7,278
2021-03-18,3.0,5.1,2.1,9.1,44.0,279
2020-05-01,9.3,14.6,1.6,0.4,19.2,280
2020-08-03,19.1,20.9,17.9,1.4,33.0,281
2020-12-24,-7.7,-0.7,-10.1,0.1,43.3,282
2020-05-03,15.1,19.8,7.4,0.0,29.2,283
2020-08-13,23.0,25.9,19.5,0.0,16.6,284
2020-10-10,18.1,23.9,13.8,0.2,28.0,285
2020-05-02,17.2,23.8,11.3,0.0,23.8,286
2020-08-06,20.6,24.4,15.6,0.0,15.3,287
2021-02-02,-3.2,-0.3,-5.8,0.0,24.8,288
2021-02-17,-11.1,-7.3,-15.2,0.0,19.7,289
2021-10-13,17.4,21.6,13.5,1.3,28.4,290
2021-12-25,5.5,11.6,0.5,4.8,23.9,291
2020-04-09,5.8,8.3,2.0,0.2,43.6,292
2020-07-22,24.6,28.6,21.5,1.5,16.7,293
2021-07-28,27.9,32.1,23.5,0.3,19.7,294
2020-11-06,15.0,21.5,9.6,0.0,23.8,295
2020-12-10,4.4,10.9,-0.7,0.0,17.5,296
2021-02-06,-13.9,-11.0,-17.7,2.0,29.3,297
2021-02-27,3.2,10.4,-0.9,2.2,19.0,298
2021-05-25,25.0,30.0,20.9,2.0,34.9,299
2020-05-29,18.0,22.2,15.3,6.0,20.4,300
2020-07-20,23.5,26.3,20.2,0.0,17.9,301
2020-09-25,20.6,26.7,14.3,0.0,23.1,302
2021-10-29,12.5,13.0,12.2,24.0,34.6,303
2020-05-09,6.4,12.8,-1.3,0.0,26.1,304
2020-07-07,28.2,32.2,23.4,3.2,15.5,305
2020-09-01,21.5,22.5,20.4,4.9,19.9,306
2021-11-13,3.0,5.0,1.3,0.2,27.3,307
2020-12-27,1.1,7.5,-4.5,0.2,26.6,308
2020-06-10,23.0,28.1,17.0,2.1,41.7,309
2020-07-03,24.2,28.7,18.5,0.0,13.6,310
2020-12-21,3.0,7.6,-0.5,0.3,33.8,311
2021-08-12,26.0,31.8,22.1,0.3,30.7,312
2020-04-02,4.3,7.6,0.7,0.0,15.9,313
2020-10-14,14.8,21.9,6.8,0.0,40.1,314
2020-11-04,14.7,20.2,10.2,0.0,30.0,315
2021-03-07,2.1,8.0,-4.0,0.0,23.0,316
2021-10-14,19.0,21.0,14.7,14.7,27.5,317
2021-12-23,1.8,7.8,-3.3,0.2,25.0,318
2020-11-26,5.9,8.5,3.0,0.0,23.4,319
2021-01-18,-2.8,-0.5,-4.3,0.0,20.3,320
2021-07-05,27.2,32.5,21.7,0.0,30.5,321
2021-09-14,25.3,30.3,19.8,0.2,33.0,322
2020-12-08,1.2,3.2,-0.5,0.0,23.2,323
2021-04-14,5.8,9.2,1.9,0.0,22.2,324
2021-05-10,6.2,7.6,3.9,0.4,23.7,325
2021-09-17,24.4,31.1,17.5,0.0,28.8,326
2021-10-12,17.7,21.4,14.7,0.7,33.3,327
2020-10-12,15.6,22.4,10.4,8.2,38.5,328
2021-04-03,10.6,18.9,2.5,0.0,33.4,329
2021-05-05,8.7,11.0,6.3,0.0,24.2,330
2021-10-26,10.1,12.2,7.4,0.0,27.3,331
2021-02-10,-11.2,-8.1,-16.2,0.7,27.7,332
2021-02-11,-8.1,-5.1,-12.1,0.6,28.2,333
2020-10-22,16.8,24.0,11.3,15.3,35.4,334
2020-11-23,4.3,6.2,2.1,0.0,20.4,335
2021-04-04,12.6,19.0,4.1,0.0,20.2,336
2021-06-09,21.4,24.6,17.1,1.0,16.8,337
2021-12-03,5.5,8.0,4.0,0.5,15.5,338
2020-05-30,14.5,17.0,11.2,1.3,16.6,339
2020-07-18,27.1,32.6,22.8,0.0,28.8,340
2020-11-19,12.7,17.2,7.3,0.0,40.7,341
2021-05-20,23.5,28.4,18.4,0.0,28.0,342
2020-07-12,21.5,22.8,19.2,6.5,28.2,343
2020-08-28,26.7,31.2,23.5,2.2,20.7,344
2020-10-07,17.8,22.5,13.3,0.0,32.6,345
2021-04-23,10.7,16.7,4.8,0.0,29.3,346
2021-07-20,23.1,29.6,18.8,0.0,26.4,347
2021-08-03,22.0,25.9,16.0,0.5,12.9,348
2020-06-11,20.2,25.2,14.5,0.0,27.4,349
2020-07-14,23.9,29.7,17.9,0.0,23.2,350
2020-07-16,22.7,24.3,21.3,12.1,34.1,351
2021-02-07,-18.3,-14.9,-21.9,0.0,23.3,352
2020-06-12,16.8,21.6,13.3,0.0,26.2,353
2020-07-19,26.3,31.0,22.1,13.1,36.7,354
2020-08-04,18.1,19.7,15.7,0.3,27.8,355
2021-11-09,10.9,12.6,8.6,0.0,22.1,356
2020-05-22,13.2,16.6,10.1,0.0,13.2,357
2021-09-02,20.9,23.9,16.3,0.0,19.2,358
2020-05-26,23.2,26.4,20.0,2.7,22.3,359
2020-06-21,22.6,25.0,21.0,8.9,17.4,360
2021-05-08,6.7,9.1,2.7,4.3,20.6,361
2020-06-09,24.3,30.0,20.3,15.1,38.5,362
2021-07-24,27.3,32.5,22.8,2.5,28.2,363
2020-04-11,9.7,16.4,3.9,2.7,23.5,364
2020-11-09,19.4,22.3,16.4,0.1,32.6,365
2021-08-24,25.9,32.6,22.4,11.1,23.8,366
2021-05-19,19.9,23.6,17.2,6.4,30.3,367
2020-06-15,16.5,19.9,12.0,0.0,20.2,368
2020-09-07,20.4,22.7,17.1,3.0,34.7,369
2021-08-06,22.3,25.3,20.3,8.9,28.0,370
2021-09-25,15.2,20.1,10.3,0.7,24.9,371
2020-09-03,23.1,29.8,18.1,0.0,39.1,372
2021-02-16,-8.9,-7.1,-12.0,5.0,30.6,373
2021-11-15,-0.1,1.9,-2.9,0.8,21.5,374
2020-10-26,3.6,7.1,2.3,2.9,29.6,375
2020-09-22,18.3,25.1,11.9,0.0,15.5,376
2020-10-16,7.2,11.0,3.5,0.0,27.5,377
2021-05-06,8.4,10.0,6.9,6.8,25.8,378
2021-11-19,0.1,3.3,-3.6,0.0,21.0,379
2020-10-04,8.8,11.7,6.4,2.4,27.2,380
2021-01-25,-0.3,0.6,-1.3,3.6,35.3,381
2021-01-27,-4.2,-2.5,-9.0,0.7,28.8,382
2021-05-28,9.2,10.7,7.6,9.1,42.0,383
2021-06-30,23.5,26.5,21.7,12.3,12.9,384
2021-08-21,26.4,30.8,22.4,1.0,21.9,385
2020-05-27,22.2,25.4,19.2,3.9,20.4,386
2020-08-15,23.9,28.6,19.9,1.2,18.9,387
2020-10-23,12.9,20.3,4.7,16.5,32.4,388
2021-05-11,6.6,8.9,3.1,0.2,20.6,389
2021-07-27,26.5,33.2,21.7,0.0,21.4,390
2021-08-25,27.0,32.5,22.9,16.4,29.7,391
2020-11-03,10.1,17.6,3.9,0.0,26.8,392
2021-09-28,19.0,20.3,17.7,0.0,20.3,393
2021-12-21,0.6,4.9,-1.9,0.0,30.0,394
2020-05-16,10.0,12.7,7.2,0.2,22.4,395
2020-11-14,3.8,9.9,-2.3,2.1,36.7,396
2021-05-18,18.3,23.4,13.3,4.4,25.5,397
2021-06-29,24.2,28.1,22.2,23.1,22.5,398
2020-04-29,11.3,16.1,6.1,41.6,31.6,399
2020-06-24,19.5,23.9,15.4,3.0,17.5,400
2020-12-01,-1.8,1.1,-3.9,0.0,25.5,401
2021-03-09,10.3,17.1,4.3,0.0,29.2,402
2021-04-07,19.4,25.7,14.3,1.3,29.6,403
2021-07-14,24.5,29.5,19.8,0.2,27.6,404
2021-08-13,23.2,25.2,20.4,0.6,17.7,405
2021-04-12,12.1,16.7,8.2,1.8,30.3,406
2021-01-14,2.0,4.9,-1.0,4.2,23.0,407
2021-03-27,10.0,18.8,3.0,2.4,27.7,408
2021-06-16,18.6,21.8,15.1,0.0,20.9,409
2020-06-04,22.9,26.6,18.1,0.6,15.9,410
2020-12-22,2.3,5.0,-0.9,0.0,31.4,411
2021-10-06,18.1,19.5,16.7,2.6,21.1,412
2021-11-10,10.1,12.7,7.3,0.1,24.9,413
2020-05-11,5.2,8.2,3.1,0.1,19.4,414
2021-04-08,14.8,17.4,11.1,13.7,29.3,415
2021-09-27,22.3,29.7,18.5,0.2,29.6,416
2020-04-14,1.1,5.0,-2.4,1.0,33.5,417
2021-03-20,4.1,10.6,-1.7,0.0,15.7,418
2021-05-16,15.3,20.7,9.3,0.0,18.7,419
2021-01-03,0.2,2.4,-2.5,3.2,15.1,420
2021-08-14,22.2,24.5,20.0,0.0,18.5,421
2021-12-04,2.2,4.7,-1.1,0.0,16.4,422
2020-09-17,17.6,20.1,15.3,0.3,28.3,423
2021-02-01,-1.5,0.2,-4.7,0.0,31.9,424
2021-06-12,22.3,26.3,18.2,0.8,17.8,425
2021-10-04,18.0,19.3,16.0,11.7,26.8,426
2020-04-16,2.2,8.2,-3.4,0.0,23.4,427
2020-07-05,25.4,29.5,19.8,0.0,15.8,428
2021-06-27,24.2,28.0,20.2,1.7,32.4,429
2020-05-06,8.3,12.5,3.6,0.0,19.8,430
2020-05-08,3.8,6.0,1.4,0.0,38.8,431
2021-09-01,21.3,23.0,19.4,0.3,29.3,432
2021-12-10,5.6,13.9,0.9,19.2,43.2,433
2021-07-07,24.6,29.6,20.9,3.1,20.0,434
2021-07-12,20.2,22.6,18.3,19.4,17.7,435
2021-10-15,14.3,17.2,12.2,2.1,24.6,436
2021-11-27,0.8,4.4,-2.0,0.7,22.4,437
2020-06-30,24.2,27.2,21.8,5.9,16.2,438
2020-12-17,0.3,1.3,-1.4,0.4,12.2,439
2021-05-01,15.5,26.0,4.4,0.0,45.6,440
2021-11-11,10.6,12.7,5.7,11.7,40.0,441
2021-01-19,-3.8,-0.4,-7.5,2.4,26.6,442
2021-06-07,23.1,26.2,21.3,24.2,22.0,443
2021-09-15,20.0,23.0,16.4,0.0,18.4,444
2020-05-13,11.6,17.4,5.4,0.0,22.9,445
2020-07-02,23.5,27.2,19.5,0.0,18.2,446
2020-08-02,22.3,27.0,19.7,10.9,17.3,447
2021-01-12,-0.6,4.5,-3.4,0.0,24.1,448
2021-02-12,-9.3,-6.2,-12.3,1.5,23.9,449
2021-04-21,2.7,8.5,-1.6,2.5,18.5,450
2021-05-30,13.0,17.9,6.3,0.0,16.2,451
2021-09-06,20.7,23.7,16.6,0.0,22.5,452
2021-10-18,13.1,20.5,6.7,0.0,15.4,453
2021-12-12,3.5,8.5,-0.3,0.0,32.0,454
2020-09-29,12.1,15.6,8.4,0.0,22.0,455
2021-01-10,-2.3,-1.2,-3.5,0.0,15.5,456
2021-01-21,1.1,4.4,-0.9,0.0,36.4,457
2021-01-29,-7.3,-1.3,-16.3,0.0,21.8,458
2020-04-13,5.0,12.3,0.8,1.1,36.8,459
2020-09-21,16.9,22.8,11.4,0.0,20.1,460
2020-11-30,0.2,3.3,-1.9,1.0,37.8,461
2021-01-06,-0.2,1.8,-2.5,0.0,12.8,462
2021-01-08,0.8,1.7,-0.3,0.0,26.9,463
2021-08-30,23.6,26.7,19.3,0.0,15.9,464
2021-10-27,9.3,11.6,5.8,0.0,23.3,465
2020-08-09,26.8,33.0,22.0,12.8,26.7,466
2021-01-28,-10.2,-6.1,-14.7,0.0,22.3,467
2021-08-29,26.4,30.5,23.7,2.4,30.8,468
2021-10-25,10.5,11.1,9.9,23.1,51.5,469
2020-07-17,24.6,29.7,18.5,0.0,18.9,470
2020-11-15,7.1,12.3,2.1,6.0,54.6,471
