date,ride_count,lag_1,lag_7,rolling_mean_7,temperature_2m_mean,precipitation_sum,windspeed_10m_max,is_holiday,day_of_week,is_weekend,month,date_key
2020-05-01,4751,2567,2284,3028.285714285714,9.3,0.4,19.2,0,6,0,5,20200501
2020-05-02,11811,4751,1048,4565.857142857143,17.2,0.0,23.8,0,7,1,5,20200502
2020-05-03,9414,11811,6200,5025.0,15.1,0.0,29.2,0,1,1,5,20200503
2020-05-04,2634,9414,2595,5030.571428571428,5.2,0.0,30.4,0,2,0,5,20200504
2020-05-05,1953,2634,3392,4825.0,6.4,6.1,20.5,0,3,0,5,20200505
2020-05-06,4775,1953,645,5415.0,8.3,0.0,19.8,0,4,0,5,20200506
2020-05-07,4997,4775,2567,5762.142857142857,9.9,0.0,31.3,0,5,0,5,20200507
2020-05-08,2793,4997,4751,5482.428571428572,3.8,0.0,38.8,0,6,0,5,20200508
2020-05-09,7945,2793,11811,4930.142857142857,6.4,0.0,26.1,0,7,1,5,20200509
2020-05-10,1394,7945,9414,3784.4285714285716,7.0,7.6,41.0,0,1,1,5,20200510
2020-05-11,2871,1394,2634,3818.285714285714,5.2,0.1,19.4,0,2,0,5,20200511
2020-05-12,4745,2871,1953,4217.142857142857,7.8,0.0,21.0,0,3,0,5,20200512
2020-05-13,5762,4745,4775,4358.142857142857,11.6,0.0,22.9,0,4,0,5,20200513
2020-05-14,3036,5762,4997,4078.0,15.9,17.6,25.3,0,5,0,5,20200514
2020-05-15,7031,3036,2793,4683.428571428572,15.9,8.0,25.5,0,6,0,5,20200515
2020-05-16,8975,7031,7945,4830.571428571428,10.0,0.2,22.4,0,7,1,5,20200516
2020-05-17,691,8975,1394,4730.142857142857,15.1,61.4,28.7,0,1,1,5,20200517
2020-05-18,3885,691,2871,4875.0,13.6,0.3,19.7,0,2,0,5,20200518
2020-05-19,2852,3885,4745,4604.571428571428,11.8,1.9,28.2,0,3,0,5,20200519
2020-05-20,6348,2852,5762,4688.285714285715,12.3,0.0,24.6,0,4,0,5,20200520
2020-05-21,5602,6348,3036,5054.857142857143,12.6,0.3,18.8,0,5,0,5,20200521
2020-05-22,7569,5602,7031,5131.714285714285,13.2,0.0,13.2,0,6,0,5,20200522
2020-05-23,8784,7569,8975,5104.428571428572,17.2,19.0,23.6,0,7,1,5,20200523
2020-05-24,14836,8784,691,7125.142857142857,21.8,0.0,22.2,0,1,1,5,20200524
2020-05-25,14268,14836,3885,8608.42857142857,23.3,1.1,18.8,1,2,0,5,20200525
2020-05-26,7711,14268,2852,9302.57142857143,23.2,2.7,22.3,0,3,0,5,20200526
2020-05-27,8121,7711,6348,9555.857142857143,22.2,3.9,20.4,0,4,0,5,20200527
2020-05-28,6785,8121,5602,9724.857142857143,20.6,13.8,21.9,0,5,0,5,20200528
2020-05-29,10580,6785,7569,10155.0,18.0,6.0,20.4,0,6,0,5,20200529
2020-05-30,17162,10580,8784,11351.857142857143,14.5,1.3,16.6,0,7,1,5,20200530
2020-05-31,193,17162,14836,9260.0,12.2,0.0,22.3,0,1,1,5,20200531
2020-06-03,6296,193,14268,8121.142857142857,22.9,1.6,22.7,0,4,0,6,20200603
2020-06-04,7628,6296,7711,8109.285714285715,22.9,0.6,15.9,0,5,0,6,20200604
2020-06-05,8922,7628,8121,8223.714285714286,24.2,0.2,18.4,0,6,0,6,20200605
2020-06-06,15239,8922,6785,9431.42857142857,17.3,0.0,22.7,0,7,1,6,20200606
2020-06-07,13224,15239,10580,9809.142857142857,17.2,0.0,21.5,0,1,1,6,20200607
2020-06-08,10368,13224,17162,8838.57142857143,23.0,0.0,20.7,0,2,0,6,20200608
2020-06-09,5608,10368,193,9612.142857142857,24.3,15.1,38.5,0,3,0,6,20200609
2020-06-10,7676,5608,6296,9809.285714285714,23.0,2.1,41.7,0,4,0,6,20200610
2020-06-11,12275,7676,7628,10473.142857142857,20.2,0.0,27.4,0,5,0,6,20200611
2020-06-12,11989,12275,8922,10911.285714285714,16.8,0.0,26.2,0,6,0,6,20200612
2020-06-13,14278,11989,15239,10774.0,14.0,1.9,28.4,0,7,1,6,20200613
2020-06-14,14602,14278,13224,10970.857142857143,15.2,0.0,22.3,0,1,1,6,20200614
2020-06-15,10164,14602,10368,10941.714285714286,16.5,0.0,20.2,0,2,0,6,20200615
2020-06-16,12081,10164,5608,11866.42857142857,19.7,0.0,21.6,0,3,0,6,20200616
2020-06-17,12827,12081,7676,12602.285714285714,22.0,0.0,19.7,0,4,0,6,20200617
2020-06-18,13319,12827,12275,12751.42857142857,23.1,0.0,18.9,0,5,0,6,20200618
2020-06-19,16307,13319,11989,13368.285714285714,25.5,0.0,21.2,1,6,0,6,20200619
2020-06-20,14665,16307,14278,13423.57142857143,26.4,7.3,25.6,0,7,1,6,20200620
2020-06-21,14824,14665,14602,13455.285714285714,22.6,8.9,17.4,0,1,1,6,20200621
2020-06-22,7036,14824,10164,13008.42857142857,22.7,23.8,21.1,0,2,0,6,20200622
2020-06-23,13692,7036,12081,13238.57142857143,20.0,2.5,25.9,0,3,0,6,20200623
2020-06-24,12890,13692,12827,13247.57142857143,19.5,3.0,17.5,0,4,0,6,20200624
2020-06-25,16001,12890,13319,13630.714285714286,20.5,0.5,20.9,0,5,0,6,20200625
2020-06-26,6228,16001,16307,12190.857142857143,23.2,18.9,29.6,0,6,0,6,20200626
2020-06-27,20499,6228,14665,13024.285714285714,24.6,1.0,20.9,0,7,1,6,20200627
2020-06-28,20383,20499,14824,13818.42857142857,22.6,5.8,15.8,0,1,1,6,20200628
2020-06-29,9395,20383,7036,14155.42857142857,24.4,3.4,19.2,0,2,0,6,20200629
2020-06-30,14589,9395,13692,14283.57142857143,24.2,5.9,16.2,0,3,0,6,20200630
2020-07-01,15827,14589,12890,14703.142857142857,23.6,0.0,19.1,0,4,0,7,20200701
2020-07-02,16560,15827,16001,14783.0,23.5,0.0,18.2,0,5,0,7,20200702
2020-07-03,20296,16560,6228,16792.714285714286,24.2,0.0,13.6,0,6,0,7,20200703
2020-07-04,19931,20296,20499,16711.571428571428,23.5,0.0,20.0,1,7,1,7,20200704
2020-07-05,18538,19931,20383,16448.0,25.4,0.0,15.8,0,1,1,7,20200705
2020-07-06,14826,18538,9395,17223.85714285714,27.9,0.3,14.7,0,2,0,7,20200706
2020-07-07,14450,14826,14589,17204.0,28.2,3.2,15.5,0,3,0,7,20200707
2020-07-08,15885,14450,15827,17212.285714285714,27.1,0.5,16.5,0,4,0,7,20200708
2020-07-09,14801,15885,16560,16961.0,28.6,3.1,24.5,0,5,0,7,20200709
2020-07-10,16912,14801,20296,16477.571428571428,24.5,19.0,27.4,0,6,0,7,20200710
2020-07-11,23072,16912,19931,16926.285714285714,24.8,1.9,22.5,0,7,1,7,20200711
2020-07-12,22680,23072,18538,17518.0,21.5,6.5,28.2,0,1,1,7,20200712
2020-07-13,16633,22680,14826,17776.14285714286,21.5,0.6,16.0,0,2,0,7,20200713
2020-07-14,17311,16633,14450,18184.85714285714,23.9,0.0,23.2,0,3,0,7,20200714
2020-07-15,9357,17311,15885,17252.285714285714,24.9,58.1,28.2,0,4,0,7,20200715
2020-07-16,17263,9357,14801,17604.0,22.7,12.1,34.1,0,5,0,7,20200716
2020-07-17,19923,17263,16912,18034.14285714286,24.6,0.0,18.9,0,6,0,7,20200717
2020-07-18,22991,19923,23072,18022.571428571428,27.1,0.0,28.8,0,7,1,7,20200718
2020-07-19,14582,22991,22680,16865.714285714286,26.3,13.1,36.7,0,1,1,7,20200719
2020-07-20,16023,14582,16633,16778.571428571428,23.5,0.0,17.9,0,2,0,7,20200720
2020-07-21,12546,16023,17311,16097.857142857143,24.0,4.7,19.5,0,3,0,7,20200721
2020-07-22,17332,12546,9357,17237.14285714286,24.6,1.5,16.7,0,4,0,7,20200722
2020-07-23,18586,17332,17263,17426.14285714286,22.0,0.1,20.0,0,5,0,7,20200723
2020-07-24,20673,18586,19923,17533.285714285714,22.4,0.0,16.2,0,6,0,7,20200724
2020-07-25,26410,20673,22991,18021.714285714286,25.2,0.0,14.8,0,7,1,7,20200725
2020-07-26,19811,26410,14582,18768.714285714286,27.7,4.1,24.0,0,1,1,7,20200726
2020-07-27,15074,19811,16023,18633.14285714286,25.1,15.7,17.0,0,2,0,7,20200727
2020-07-28,18182,15074,12546,19438.285714285714,24.4,0.1,22.2,0,3,0,7,20200728
2020-07-29,15483,18182,17332,19174.14285714286,24.5,1.3,22.8,0,4,0,7,20200729
2020-07-30,17846,15483,18586,19068.428571428572,22.6,1.6,33.7,0,5,0,7,20200730
2020-07-31,21676,17846,20673,19211.714285714286,22.0,0.0,23.7,0,6,0,7,20200731
2020-08-01,23256,21676,26410,18761.14285714286,22.1,4.5,16.1,0,7,1,8,20200801
2020-08-02,15367,23256,19811,18126.285714285714,22.3,10.9,17.3,0,1,1,8,20200802
2020-08-03,13039,15367,15074,17835.571428571428,19.1,1.4,33.0,0,2,0,8,20200803
2020-08-04,17746,13039,18182,17773.285714285714,18.1,0.3,27.8,0,3,0,8,20200804
2020-08-05,17856,17746,15483,18112.285714285714,18.8,0.0,12.6,0,4,0,8,20200805
2020-08-06,19837,17856,17846,18396.714285714286,20.6,0.0,15.3,0,5,0,8,20200806
2020-08-07,22584,19837,21676,18526.428571428572,21.6,0.0,17.1,0,6,0,8,20200807
2020-08-08,28709,22584,23256,19305.428571428572,25.0,0.0,25.5,0,7,1,8,20200808
2020-08-09,23200,28709,15367,20424.428571428572,26.8,12.8,26.7,0,1,1,8,20200809
2020-08-10,9747,23200,13039,19954.14285714286,24.5,7.5,23.5,0,2,0,8,20200810
2020-08-11,17835,9747,17746,19966.85714285714,22.2,0.0,15.2,0,3,0,8,20200811
2020-08-12,18418,17835,17856,20047.14285714286,21.7,0.0,14.3,0,4,0,8,20200812
2020-08-13,18646,18418,19837,19877.0,23.0,0.0,16.6,0,5,0,8,20200813
2020-08-14,20396,18646,22584,19564.428571428572,23.7,0.0,19.3,0,6,0,8,20200814
2020-08-15,23469,20396,28709,18815.85714285714,23.9,1.2,18.9,0,7,1,8,20200815
2020-08-16,24522,23469,23200,19004.714285714286,22.4,0.2,22.3,0,1,1,8,20200816
2020-08-17,17144,24522,9747,20061.428571428572,23.1,0.0,16.6,0,2,0,8,20200817
2020-08-18,19278,17144,17835,20267.571428571428,21.5,0.0,24.0,0,3,0,8,20200818
2020-08-19,19624,19278,18418,20439.85714285714,20.9,0.0,22.4,0,4,0,8,20200819
2020-08-20,20037,19624,18646,20638.571428571428,22.8,0.0,13.9,0,5,0,8,20200820
2020-08-21,22521,20037,20396,20942.14285714286,23.7,0.0,11.9,0,6,0,8,20200821
2020-08-22,28882,22521,23469,21715.428571428572,24.8,0.0,19.0,0,7,1,8,20200822
2020-08-23,20542,28882,24522,21146.85714285714,25.2,0.7,19.2,0,1,1,8,20200823
2020-08-24,16372,20542,17144,21036.571428571428,28.1,0.2,22.0,0,2,0,8,20200824
2020-08-25,17519,16372,19278,20785.285714285714,24.3,4.0,34.5,0,3,0,8,20200825
2020-08-26,18439,17519,19624,20616.0,27.9,0.0,24.4,0,4,0,8,20200826
2020-08-27,17008,18439,20037,20183.285714285714,27.4,3.3,24.0,0,5,0,8,20200827
2020-08-28,19899,17008,22521,19808.714285714286,26.7,2.2,20.7,0,6,0,8,20200828
2020-08-29,28297,19899,28882,19725.14285714286,23.7,0.5,26.3,0,7,1,8,20200829
2020-08-30,24790,28297,20542,20332.0,21.1,0.0,19.1,0,1,1,8,20200830
2020-08-31,17382,24790,16372,20476.285714285714,23.8,0.3,22.8,0,2,0,8,20200831
2020-09-01,10708,17382,17519,19503.285714285714,21.5,4.9,19.9,0,3,0,9,20200901
2020-09-02,19594,10708,18439,19668.285714285714,23.5,0.0,26.8,0,4,0,9,20200902
2020-09-03,19030,19594,17008,19957.14285714286,23.1,0.0,39.1,0,5,0,9,20200903
2020-09-04,22253,19030,19899,20293.428571428572,19.4,0.0,26.0,0,6,0,9,20200904
2020-09-05,28719,22253,28297,20353.714285714286,21.5,0.0,32.4,1,7,1,9,20200905
2020-09-06,17207,28719,24790,19270.428571428572,20.6,19.6,37.5,1,1,1,9,20200906
2020-09-07,23731,17207,17382,20177.428571428572,20.4,3.0,34.7,1,2,0,9,20200907
2020-09-08,6835,23731,10708,19624.14285714286,17.7,33.0,32.0,0,3,0,9,20200908
2020-09-09,12545,6835,19594,18617.14285714286,17.4,4.7,27.2,0,4,0,9,20200909
2020-09-10,10529,12545,19030,17402.714285714286,16.9,6.0,27.3,0,5,0,9,20200910
2020-09-11,14832,10529,22253,16342.57142857143,18.1,3.1,22.3,0,6,0,9,20200911
2020-09-12,11164,14832,28719,13834.714285714286,19.3,30.9,22.2,0,7,1,9,20200912
2020-09-13,23970,11164,17207,14800.857142857143,18.6,0.0,17.4,0,1,1,9,20200913
2020-09-14,15170,23970,23731,13577.857142857143,18.6,0.0,12.8,0,2,0,9,20200914
2020-09-15,18228,15170,6835,15205.42857142857,19.3,0.0,21.0,0,3,0,9,20200915
2020-09-16,19258,18228,12545,16164.42857142857,20.6,0.3,23.4,0,4,0,9,20200916
2020-09-17,17094,19258,10529,17102.285714285714,17.6,0.3,28.3,0,5,0,9,20200917
2020-09-18,16987,17094,14832,17410.14285714286,13.5,0.1,28.0,0,6,0,9,20200918
2020-09-19,23356,16987,11164,19151.85714285714,12.5,0.0,14.2,0,7,1,9,20200919
2020-09-20,21134,23356,23970,18746.714285714286,15.3,0.0,20.4,0,1,1,9,20200920
2020-09-21,15791,21134,15170,18835.428571428572,16.9,0.0,20.1,0,2,0,9,20200921
2020-09-22,17948,15791,18228,18795.428571428572,18.3,0.0,15.5,0,3,0,9,20200922
2020-09-23,18531,17948,19258,18691.571428571428,19.3,0.0,17.3,0,4,0,9,20200923
2020-09-24,19027,18531,17094,18967.714285714286,19.7,0.0,20.4,0,5,0,9,20200924
2020-09-25,22771,19027,16987,19794.0,20.6,0.0,23.1,0,6,0,9,20200925
2020-09-26,26150,22771,23356,20193.14285714286,22.1,0.0,37.6,0,7,1,9,20200926
2020-09-27,20874,26150,21134,20156.0,20.9,0.1,34.2,0,1,1,9,20200927
2020-09-28,11110,20874,15791,19487.285714285714,13.9,7.6,26.1,0,2,0,9,20200928
2020-09-29,14294,11110,17948,18965.285714285714,12.1,0.0,22.0,0,3,0,9,20200929
2020-09-30,14118,14294,18531,18334.85714285714,13.6,0.4,43.2,0,4,0,9,20200930
2020-10-01,11243,14118,19027,17222.85714285714,10.7,5.2,23.8,0,5,0,10,20201001
2020-10-02,14832,11243,22771,16088.714285714286,9.5,0.1,22.7,0,6,0,10,20201002
2020-10-03,14634,14832,26150,14443.57142857143,9.8,2.8,15.8,0,7,1,10,20201003
2020-10-04,12875,14634,20874,13300.857142857143,8.8,2.4,27.2,0,1,1,10,20201004
2020-10-05,12533,12875,11110,13504.142857142857,9.6,0.0,29.1,0,2,0,10,20201005
2020-10-06,16126,12533,14294,13765.857142857143,15.1,0.0,25.3,0,3,0,10,20201006
2020-10-07,17471,16126,14118,14244.857142857143,17.8,0.0,32.6,0,4,0,10,20201007
2020-10-08,16519,17471,11243,14998.57142857143,13.4,0.0,20.8,0,5,0,10,20201008
2020-10-09,21322,16519,14832,15925.714285714286,18.6,0.0,34.2,0,6,0,10,20201009
2020-10-10,24935,21322,14634,17397.285714285714,18.1,0.2,28.0,0,7,1,10,20201010
2020-10-11,19713,24935,12875,18374.14285714286,16.5,0.9,25.5,0,1,1,10,20201011
2020-10-12,9764,19713,12533,17978.571428571428,15.6,8.2,38.5,1,2,0,10,20201012
2020-10-13,15626,9764,16126,17907.14285714286,13.3,0.0,36.2,0,3,0,10,20201013
2020-10-14,15358,15626,17471,17605.285714285714,14.8,0.0,40.1,0,4,0,10,20201014
2020-10-15,12565,15358,16519,17040.428571428572,11.1,0.2,36.0,0,5,0,10,20201015
2020-10-16,11856,12565,21322,15688.142857142857,7.2,0.0,27.5,0,6,0,10,20201016
2020-10-17,14521,11856,24935,14200.42857142857,10.2,0.0,42.8,0,7,1,10,20201017
2020-10-18,5222,14521,19713,12130.285714285714,9.1,7.4,33.1,0,1,1,10,20201018
2020-10-19,7468,5222,9764,11802.285714285714,6.7,5.4,23.0,0,2,0,10,20201019
2020-10-20,9273,7468,15626,10894.714285714286,8.8,3.2,23.6,0,3,0,10,20201020
2020-10-21,10302,9273,15358,10172.42857142857,10.4,1.7,23.2,0,4,0,10,20201021
2020-10-22,13228,10302,12565,10267.142857142857,16.8,15.3,35.4,0,5,0,10,20201022
2020-10-23,7042,13228,11856,9579.42857142857,12.9,16.5,32.4,0,6,0,10,20201023
2020-10-24,12452,7042,14521,9283.857142857143,4.9,0.0,23.3,0,7,1,10,20201024
2020-10-25,8627,12452,5222,9770.285714285714,7.3,0.4,23.8,0,1,1,10,20201025
2020-10-26,6611,8627,7468,9647.857142857143,3.6,2.9,29.6,0,2,0,10,20201026
2020-10-27,6178,6611,9273,9205.714285714286,2.6,2.4,16.1,0,3,0,10,20201027
2020-10-28,9661,6178,10302,9114.142857142857,4.6,0.0,21.9,0,4,0,10,20201028
2020-10-29,8139,9661,13228,8387.142857142857,6.3,0.2,41.5,0,5,0,10,20201029
2020-10-30,9378,8139,7042,8720.857142857143,2.3,0.0,23.0,0,6,0,10,20201030
2020-10-31,13179,9378,12452,8824.714285714286,6.6,0.0,35.9,0,7,1,10,20201031
2020-11-01,5973,13179,8627,8445.57142857143,4.0,0.0,41.2,0,1,1,11,20201101
2020-11-02,8116,5973,6611,8660.57142857143,2.9,0.0,32.7,0,2,0,11,20201102
2020-11-03,11987,8116,6178,9490.42857142857,10.1,0.0,26.8,0,3,0,11,20201103
2020-11-04,12030,11987,9661,9828.857142857143,14.7,0.0,30.0,0,4,0,11,20201104
2020-11-05,12459,12030,8139,10446.0,15.5,0.0,24.2,0,5,0,11,20201105
2020-11-06,16044,12459,9378,11398.285714285714,15.0,0.0,23.8,0,6,0,11,20201106
2020-11-07,23846,16044,13179,12922.142857142857,15.3,0.0,24.8,0,7,1,11,20201107
2020-11-08,18439,23846,5973,14703.0,17.6,0.2,26.0,0,1,1,11,20201108
2020-11-09,14098,18439,8116,15557.57142857143,19.4,0.1,32.6,0,2,0,11,20201109
2020-11-10,9094,14098,11987,15144.285714285714,19.0,7.6,41.7,0,3,0,11,20201110
2020-11-11,8717,9094,12030,14671.0,4.4,0.0,35.9,1,4,0,11,20201111
2020-11-12,9084,8717,12459,14188.857142857143,5.4,0.3,17.4,0,5,0,11,20201112
2020-11-13,8115,9084,16044,13056.142857142857,3.0,0.6,25.0,0,6,0,11,20201113
2020-11-14,7144,8115,23846,10670.142857142857,3.8,2.1,36.7,0,7,1,11,20201114
2020-11-15,3447,7144,18439,8528.42857142857,7.1,6.0,54.6,0,1,1,11,20201115
2020-11-16,7136,3447,14098,7533.857142857143,3.3,0.8,29.3,0,2,0,11,20201116
2020-11-17,6602,7136,9094,7177.857142857143,1.5,0.0,29.7,0,3,0,11,20201117
2020-11-18,7330,6602,8717,6979.714285714285,3.9,0.0,36.5,0,4,0,11,20201118
2020-11-19,9226,7330,9084,7000.0,12.7,0.0,40.7,0,5,0,11,20201119
2020-11-20,9900,9226,8115,7255.0,11.9,0.0,31.5,0,6,0,11,20201120
2020-11-21,7899,9900,7144,7362.857142857143,5.0,0.0,20.7,0,7,1,11,20201121
2020-11-22,5018,7899,3447,7587.285714285715,5.4,3.5,18.5,0,1,1,11,20201122
2020-11-23,6401,5018,7136,7482.285714285715,4.3,0.0,20.4,0,2,0,11,20201123
2020-11-24,2775,6401,6602,6935.571428571428,3.7,11.5,29.5,0,3,0,11,20201124
2020-11-25,3262,2775,7330,6354.428571428572,7.0,10.8,21.5,1,4,0,11,20201125
2020-11-26,3583,3262,9226,5548.285714285715,5.9,0.0,23.4,1,5,0,11,20201126
2020-11-27,5353,3583,9900,4898.714285714285,3.9,0.0,18.0,0,6,0,11,20201127
2020-11-28,7245,5353,7899,4805.285714285715,3.0,0.0,27.9,0,7,1,11,20201128
2020-11-29,5453,7245,5018,4867.428571428572,5.3,0.0,28.0,0,1,1,11,20201129
2020-11-30,3940,5453,6401,4515.857142857143,0.2,1.0,37.8,0,2,0,11,20201130
2020-12-01,4509,3940,2775,4763.571428571428,-1.8,0.0,25.5,0,3,0,12,20201201
2020-12-02,5455,4509,3262,5076.857142857143,0.3,0.0,23.0,0,4,0,12,20201202
2020-12-03,5421,5455,3583,5339.428571428572,1.5,0.0,26.1,0,5,0,12,20201203
2020-12-04,6126,5421,5353,5449.857142857143,2.6,0.0,26.7,0,6,0,12,20201204
2020-12-05,6059,6126,7245,5280.428571428572,2.2,0.0,19.5,0,7,1,12,20201205
2020-12-06,4278,6059,5453,5112.571428571428,1.6,0.1,12.4,0,1,1,12,20201206
2020-12-07,4685,4278,3940,5219.0,1.4,0.0,15.7,0,2,0,12,20201207
2020-12-08,4716,4685,4509,5248.571428571428,1.2,0.0,23.2,0,3,0,12,20201208
2020-12-09,6640,4716,5455,5417.857142857143,3.7,0.0,22.3,0,4,0,12,20201209
2020-12-10,7666,6640,5421,5738.571428571428,4.4,0.0,17.5,0,5,0,12,20201210
2020-12-11,3861,7666,6126,5415.0,4.6,10.4,31.6,0,6,0,12,20201211
2020-12-12,2467,3861,6059,4901.857142857143,3.5,25.4,34.2,0,7,1,12,20201212
2020-12-13,4794,2467,4278,4975.571428571428,-0.4,0.0,22.6,0,1,1,12,20201213
2020-12-14,4420,4794,4685,4937.714285714285,-2.9,0.0,23.9,0,2,0,12,20201214
2020-12-15,4784,4420,4716,4947.428571428572,-2.5,0.0,24.4,0,3,0,12,20201215
2020-12-16,3794,4784,6640,4540.857142857143,-0.5,0.5,25.7,0,4,0,12,20201216
2020-12-17,4011,3794,7666,4018.714285714286,0.3,0.4,12.2,0,5,0,12,20201217
2020-12-18,5014,4011,3861,4183.428571428572,-0.9,0.0,28.9,0,6,0,12,20201218
2020-12-19,5131,5014,2467,4564.0,3.5,0.0,28.4,0,7,1,12,20201219
2020-12-20,4340,5131,4794,4499.142857142857,1.6,0.0,25.0,0,1,1,12,20201220
2020-12-21,4681,4340,4420,4536.428571428572,3.0,0.3,33.8,0,2,0,12,20201221
2020-12-22,4857,4681,4784,4546.857142857143,2.3,0.0,31.4,0,3,0,12,20201222
2020-12-23,4547,4857,3794,4654.428571428572,7.7,5.7,46.2,0,4,0,12,20201223
2020-12-24,1654,4547,4011,4317.714285714285,-7.7,0.1,43.3,1,5,0,12,20201224
2020-12-25,864,1654,5014,3724.8571428571427,-9.1,0.2,28.7,1,6,0,12,20201225
2020-12-26,2409,864,5131,3336.0,-4.0,0.0,26.9,0,7,1,12,20201226
2020-12-27,3498,2409,4340,3215.714285714286,1.1,0.2,26.6,0,1,1,12,20201227
2020-12-28,3657,3498,4681,3069.4285714285716,-1.6,0.0,26.3,0,2,0,12,20201228
2020-12-29,2655,3657,4857,2754.8571428571427,-3.8,4.2,33.4,0,3,0,12,20201229
2020-12-30,1850,2655,4547,2369.5714285714284,-0.2,9.1,30.3,0,4,0,12,20201230
2020-12-31,2730,1850,1654,2523.285714285714,-3.8,0.0,16.6,1,5,0,12,20201231
2021-01-01,1068,2730,864,2552.4285714285716,-0.9,15.7,34.0,1,6,0,1,20210101
2021-01-02,2275,1068,2409,2533.285714285714,0.3,0.9,30.0,0,7,1,1,20210102
2021-01-03,2383,2275,3498,2374.0,0.2,3.2,15.1,0,1,1,1,20210103
2021-01-04,3209,2383,3657,2310.0,-2.5,0.1,17.1,0,2,0,1,20210104
2021-01-05,3845,3209,2655,2480.0,-1.6,0.0,15.1,0,3,0,1,20210105
2021-01-06,3884,3845,1850,2770.5714285714284,-0.2,0.0,12.8,0,4,0,1,20210106
2021-01-07,3880,3884,2730,2934.8571428571427,1.6,0.0,19.9,0,5,0,1,20210107
2021-01-08,3867,3880,1068,3334.714285714286,0.8,0.0,26.9,0,6,0,1,20210108
2021-01-09,4961,3867,2275,3718.4285714285716,-0.7,0.0,18.9,0,7,1,1,20210109
2021-01-10,3303,4961,2383,3849.8571428571427,-2.3,0.0,15.5,0,1,1,1,20210110
2021-01-11,3382,3303,3209,3874.5714285714284,-3.4,0.0,26.3,0,2,0,1,20210111
2021-01-12,4186,3382,3845,3923.285714285714,-0.6,0.0,24.1,0,3,0,1,20210112
2021-01-13,4449,4186,3884,4004.0,2.2,0.0,22.0,0,4,0,1,20210113
2021-01-14,3618,4449,3880,3966.5714285714284,2.0,4.2,23.0,0,5,0,1,20210114
2021-01-15,4148,3618,3867,4006.714285714286,0.7,1.8,22.2,0,6,0,1,20210115
2021-01-16,3302,4148,4961,3769.714285714286,0.3,1.9,22.1,0,7,1,1,20210116
2021-01-17,2546,3302,3303,3661.5714285714284,-0.7,3.2,13.9,0,1,1,1,20210117
