date_key,weather_key,holiday_key,ride_count,lag_1,lag_7,rolling_mean_7
20200815,387,246,23469,20396,28709,18815.85714285714
20200816,97,72,24522,23469,23200,19004.714285714286
20200817,58,186,17144,24522,9747,20061.42857142857
20200818,76,15,19278,17144,17835,20267.571428571428
20200819,193,408,19624,19278,18418,20439.85714285714
20200820,540,149,20037,19624,18646,20638.571428571428
20200821,64,428,22521,20037,20396,20942.14285714286
20200822,156,162,28882,22521,23469,21715.42857142857
20200823,196,380,20542,28882,24522,21146.85714285714
20200824,26,223,16372,20542,17144,21036.571428571428
20200825,98,438,17519,16372,19278,20785.285714285717
20200826,248,280,18439,17519,19624,20616.0
20200827,628,557,17008,18439,20037,20183.285714285717
20200828,344,180,19899,17008,22521,19808.714285714286
20200829,263,486,28297,19899,28882,19725.14285714286
20200830,258,618,24790,28297,20542,20332.0
20200831,512,233,17382,24790,16372,20476.285714285717
20200901,306,610,10708,17382,17519,19503.285714285717
20200902,596,491,19594,10708,18439,19668.285714285717
20200903,372,473,19030,19594,17008,19957.14285714286
20200904,44,550,22253,19030,19899,20293.42857142857
20200905,574,392,28719,22253,28297,20353.714285714286
20200906,157,542,17207,28719,24790,19270.42857142857
20200907,369,81,23731,17207,17382,20177.42857142857
20200908,9,409,6835,23731,10708,19624.14285714286
20200909,580,431,12545,6835,19594,18617.14285714286
20200910,545,476,10529,12545,19030,17402.714285714286
20200911,131,337,14832,10529,22253,16342.57142857143
20200912,22,112,11164,14832,28719,13834.714285714286
20200913,558,504,23970,11164,17207,14800.857142857143
20200914,632,291,15170,23970,23731,13577.857142857143
20200915,19,264,18228,15170,6835,15205.42857142857
20200916,36,257,19258,18228,12545,16164.42857142857
20200917,423,166,17094,19258,10529,17102.285714285714
20200918,528,369,16987,17094,14832,17410.14285714286
20200919,565,247,23356,16987,11164,19151.85714285714
20200920,487,214,21134,23356,23970,18746.714285714286
20200921,460,465,15791,21134,15170,18835.42857142857
20200922,376,27,17948,15791,18228,18795.42857142857
20200923,546,1,18531,17948,19258,18691.571428571428
20200924,254,44,19027,18531,17094,18967.714285714286
20200925,302,449,22771,19027,16987,19794.0
20200926,590,537,26150,22771,23356,20193.14285714286
20200927,122,302,20874,26150,21134,20156.0
20200928,547,121,11110,20874,15791,19487.285714285717
20200929,455,505,14294,11110,17948,18965.285714285717
20200930,177,511,14118,14294,18531,18334.85714285714
20201001,559,36,11243,14118,19027,17222.85714285714
20201002,633,31,14832,11243,22771,16088.714285714286
20201003,552,241,14634,14832,26150,14443.57142857143
20201004,380,474,12875,14634,20874,13300.857142857143
20201005,17,563,12533,12875,11110,13504.142857142857
20201006,102,376,16126,12533,14294,13765.857142857143
20201007,345,364,17471,16126,14118,14244.857142857143
20201008,70,21,16519,17471,11243,14998.57142857143
20201009,477,328,21322,16519,14832,15925.714285714286
20201010,285,466,24935,21322,14634,17397.285714285714
20201011,88,313,19713,24935,12875,18374.14285714286
20201012,328,51,9764,19713,12533,17978.571428571428
20201013,264,196,15626,9764,16126,17907.14285714286
20201014,314,605,15358,15626,17471,17605.285714285714
20201015,27,28,12565,15358,16519,17040.428571428572
20201016,377,506,11856,12565,21322,15688.142857142857
20201017,202,244,14521,11856,24935,14200.42857142857
20201018,169,83,5222,14521,19713,12130.285714285714
20201019,208,607,7468,5222,9764,11802.285714285714
20201020,548,458,9273,7468,15626,10894.714285714286
20201021,95,229,10302,9273,15358,10172.42857142857
20201022,334,122,13228,10302,12565,10267.142857142857
20201023,388,580,7042,13228,11856,9579.42857142857
20201024,34,299,12452,7042,14521,9283.857142857143
20201025,488,252,8627,12452,5222,9770.285714285714
20201026,375,104,6611,8627,7468,9647.857142857143
20201027,270,182,6178,6611,9273,9205.714285714286
20201028,142,120,9661,6178,10302,9114.142857142857
20201029,92,100,8139,9661,13228,8387.142857142857
20201030,591,32,9378,8139,7042,8720.857142857143
20201031,143,142,13179,9378,12452,8824.714285714286
20201101,222,543,5973,13179,8627,8445.57142857143
20201102,37,215,8116,5973,6611,8660.57142857143
20201103,392,314,11987,8116,6178,9490.42857142857
20201104,315,571,12030,11987,9661,9828.857142857143
20201105,560,381,12459,12030,8139,10446.0
20201106,295,58,16044,12459,9378,11398.285714285714
20201107,575,22,23846,16044,13179,12922.142857142857
20201108,597,416,18439,23846,5973,14703.0
20201109,365,267,14098,18439,8116,15557.57142857143
20201110,197,595,9094,14098,11987,15144.285714285714
20201111,271,368,8717,9094,12030,14671.0
20201112,629,344,9084,8717,12459,14188.857142857143
20201113,187,265,8115,9084,16044,13056.142857142857
20201114,396,96,7144,8115,23846,10670.142857142857
20201115,471,333,3447,7144,18439,8528.42857142857
20201116,182,514,7136,3447,14098,7533.857142857143
20201117,71,360,6602,7136,9094,7177.857142857143
20201118,518,412,7330,6602,8717,6979.714285714285
20201119,341,325,9226,7330,9084,7000.0
20201120,541,627,9900,9226,8115,7255.0
20201121,592,212,7899,9900,7144,7362.857142857143
20201122,162,197,5018,7899,3447,7587.285714285715
20201123,335,317,6401,5018,7136,7482.285714285715
20201124,178,530,2775,6401,6602,6935.571428571428
20201125,478,531,3262,2775,7330,6354.428571428572
20201126,319,477,3583,3262,9226,5548.285714285715
20201127,276,133,5353,3583,9900,4898.714285714285
20201128,533,45,7245,5353,7899,4805.285714285715
20201129,209,435,5453,7245,5018,4867.428571428572
20201130,461,236,3940,5453,6401,4515.857142857143
20201201,401,515,4509,3940,2775,4763.571428571428
20201202,501,564,5455,4509,3262,5076.857142857143
20201203,598,208,5421,5455,3583,5339.428571428572
20201204,613,23,6126,5421,5353,5449.857142857143
20201205,124,37,6059,6126,7245,5280.428571428572
20201206,28,354,4278,6059,5453,5112.571428571428
20201207,158,305,4685,4278,3940,5219.0
20201208,323,281,4716,4685,4509,5248.571428571428
20201209,146,348,6640,4716,5455,5417.857142857143
20201210,296,558,7666,6640,5421,5738.571428571428
20201211,0,512,3861,7666,6126,5415.0
20201212,20,143,2467,3861,6059,4901.857142857143
20201213,623,248,4794,2467,4278,4975.571428571428
20201214,10,496,4420,4794,4685,4937.714285714285
20201215,159,355,4784,4420,4716,4947.428571428572
20201216,634,224,3794,4784,6640,4540.857142857143
20201217,439,334,4011,3794,7666,4018.714285714286
20201218,67,526,5014,4011,3861,4183.428571428572
20201219,93,479,5131,5014,2467,4564.0
20201220,549,568,4340,5131,4794,4499.142857142857
20201221,311,232,4681,4340,4420,4536.428571428572
20201222,411,596,4857,4681,4784,4546.857142857143
20201223,214,92,4547,4857,3794,4654.428571428572
20201224,282,150,1654,4547,4011,4317.714285714285
20201225,241,522,864,1654,5014,3724.857142857143
20201226,226,345,2409,864,5131,3336.0
20201227,308,218,3498,2409,4340,3215.714285714286
20201228,139,113,3657,3498,4681,3069.428571428572
20201229,223,499,2655,3657,4857,2754.8571428571427
20201230,635,329,1850,2655,4547,2369.5714285714284
20201231,562,70,2730,1850,1654,2523.285714285714
20210101,492,73,1068,2730,864,2552.428571428572
20210102,140,633,2275,1068,2409,2533.285714285714
20210103,420,303,2383,2275,3498,2374.0
20210104,11,309,3209,2383,3657,2310.0
20210105,576,346,3845,3209,2655,2480.0
20210106,462,2,3884,3845,1850,2770.5714285714284
20210107,230,318,3880,3884,2730,2934.8571428571427
20210108,463,586,3867,3880,1068,3334.714285714286
20210109,5,189,4961,3867,2275,3718.428571428572
20210110,456,24,3303,4961,2383,3849.857142857143
20210111,119,597,3382,3303,3209,3874.571428571429
20210112,448,66,4186,3382,3845,3923.285714285714
20210113,534,154,4449,4186,3884,4004.0
20210114,407,404,3618,4449,3880,3966.571428571429
20210115,508,63,4148,3618,3867,4006.714285714286
20210116,112,436,3302,4148,4961,3769.714285714286
20210117,535,393,2546,3302,3303,3661.571428571429
20210118,320,170,3600,2546,3382,3692.714285714286
20210119,442,114,3154,3600,4186,3545.285714285714
20210120,218,561,2713,3154,4449,3297.285714285714
20210121,457,439,4202,2713,3618,3380.714285714286
20210122,123,454,3132,4202,4148,3235.5714285714284
20210123,636,634,3565,3132,3302,3273.1428571428573
20210124,120,177,3018,3565,2546,3340.5714285714284
20210125,381,432,3032,3018,3600,3259.428571428572
20210126,65,268,1266,3032,3154,2989.714285714286
20210127,382,573,2256,1266,2713,2924.428571428572
20210128,467,105,2616,2256,4202,2697.8571428571427
20210129,458,216,3268,2616,3132,2717.285714285714
20210130,145,270,2220,3268,3565,2525.1428571428573
20210131,563,67,486,2220,3018,2163.428571428572
20210201,424,538,1797,486,3032,1987.0
20210202,288,539,2317,1797,1266,2137.1428571428573
20210203,277,144,2710,2317,2256,2202.0
20210204,616,338,1721,2710,2616,2074.1428571428573
20210205,99,155,1326,1721,3268,1796.7142857142858
20210206,297,294,859,1326,2220,1602.2857142857142
20210207,352,126,569,859,486,1614.142857142857
20210208,479,230,928,569,1797,1490.0
20210209,38,242,1288,928,2317,1343.0
20210210,332,600,1245,1288,2710,1133.7142857142858
20210211,333,5,1368,1245,1721,1083.2857142857142
20210212,449,190,1843,1368,1326,1157.142857142857
20210213,265,219,727,1843,859,1138.2857142857142
20210214,473,176,498,727,569,1128.142857142857
20210215,577,123,350,498,928,1045.571428571429
20210216,373,258,284,350,1288,902.1428571428572
20210217,289,319,634,284,1245,814.8571428571429
20210218,259,509,799,634,1368,733.5714285714286
20210219,245,417,989,799,1843,611.5714285714286
20210220,84,167,1141,989,727,670.7142857142857
20210221,53,442,905,1141,498,728.8571428571429
20210222,249,74,1515,905,350,895.2857142857143
20210223,519,220,2846,1515,284,1261.2857142857142
20210224,23,306,3147,2846,634,1620.2857142857142
20210225,211,283,3185,3147,799,1961.142857142857
20210226,212,587,3932,3185,989,2381.5714285714284
20210227,298,467,7287,3932,1141,3259.5714285714284
20210228,188,29,3412,7287,905,3617.714285714286
20210301,583,490,3467,3412,1515,3896.571428571429
20210302,553,253,4085,3467,2846,4073.571428571429
20210303,524,310,5720,4085,3147,4441.142857142857
20210304,472,33,3991,5720,3185,4556.285714285715
20210305,94,553,5440,3991,3932,4771.714285714285
20210306,215,622,6904,5440,7287,4717.0
20210307,316,115,6484,6904,3412,5155.857142857143
20210308,154,87,8952,6484,3467,5939.428571428572
20210309,402,6,10409,8952,4085,6842.857142857143
20210310,238,110,7397,10409,5720,7082.428571428572
20210311,523,592,7622,7397,3991,7601.142857142857
20210312,135,572,7224,7622,5440,7856.0
20210313,6,370,12664,7224,6904,8678.857142857143
20210314,125,469,5350,12664,6484,8516.857142857143
20210315,556,502,2212,5350,8952,7554.0
20210316,278,396,4253,2212,10409,6674.571428571428
20210317,103,619,3742,4253,7397,6152.428571428572
20210318,279,18,3726,3742,7622,5595.857142857143
20210319,225,388,6702,3726,7224,5521.285714285715
20210320,418,77,12832,6702,12664,5545.285714285715
20210321,494,356,16342,12832,5350,7115.571428571428
20210322,542,11,11167,16342,2212,8394.857142857143
20210323,578,349,5345,11167,4253,8550.857142857143
20210324,12,174,8275,5345,3742,9198.42857142857
20210325,612,399,6127,8275,3726,9541.42857142857
20210326,272,93,6291,6127,6702,9482.714285714286
20210327,408,198,12852,6291,12832,9485.57142857143
20210328,485,116,7451,12852,16342,8215.42857142857
20210329,584,447,9027,7451,11167,7909.714285714285
20210330,29,588,9908,9027,5345,8561.57142857143
20210331,536,41,6535,9908,8275,8313.0
20210401,624,127,5635,6535,6127,8242.714285714286
20210402,227,192,9313,5635,6291,8674.42857142857
20210403,329,574,19646,9313,12852,9645.0
20210404,336,221,17180,19646,7451,11034.857142857143
20210405,493,339,11424,17180,9027,11377.285714285714
20210406,569,593,17313,11424,9908,12435.142857142857
20210407,403,101,15605,17313,6535,13730.857142857143
20210408,415,300,5397,15605,5635,13696.857142857143
20210409,77,623,12459,5397,9313,14146.285714285714
20210410,141,225,5532,12459,19646,12130.0
20210411,231,497,10987,5532,17180,11245.285714285714
20210412,406,559,11144,10987,11424,11205.285714285714
20210413,108,157,10161,11144,17313,10183.57142857143
20210414,324,134,8337,10161,15605,9145.285714285714
20210415,189,239,8708,8337,5397,9618.285714285714
20210416,246,88,11177,8708,12459,9435.142857142857
20210417,513,34,14101,11177,5532,10659.285714285714
20210418,100,315,13319,14101,10987,10992.42857142857
20210419,72,581,6763,13319,11144,10366.57142857143
20210420,24,535,6486,6763,10161,9841.57142857143
20210421,450,255,6591,6486,8337,9592.142857142857
20210422,104,433,10827,6591,8708,9894.857142857143
20210423,346,594,13462,10827,11177,10221.285714285714
20210424,520,266,15106,13462,14101,10364.857142857143
20210425,80,46,8867,15106,13319,9728.857142857143
20210426,498,500,14430,8867,6763,10824.142857142857
20210427,514,124,18266,14430,6486,12507.0
20210428,537,35,6812,18266,6591,12538.57142857143
20210429,606,418,9869,6812,10827,12401.714285714286
20210430,59,507,12313,9869,13462,12237.57142857143
20210501,440,82,24401,12313,15106,13565.42857142857
20210502,170,183,24799,24401,8867,15841.42857142857
20210503,150,365,9803,24799,14430,15180.42857142857
20210504,617,84,9327,9803,18266,13903.42857142857
20210505,330,307,12602,9327,6812,14730.57142857143
20210506,378,179,9574,12602,9869,14688.42857142857
20210507,32,106,13499,9574,12313,14857.857142857143
20210508,361,419,15241,13499,24401,13549.285714285714
20210509,240,97,7333,15241,24799,11054.142857142857
20210510,325,187,9367,7333,9803,10991.857142857143
20210511,389,12,11099,9367,9327,11245.0
20210512,621,7,13436,11099,12602,11364.142857142857
20210513,486,480,16592,13436,9574,12366.714285714286
20210514,163,222,20480,16592,13499,13364.0
20210515,499,620,15523,20480,15241,13404.285714285714
20210516,419,616,23552,15523,7333,15721.285714285714
20210517,603,171,15219,23552,9367,16557.285714285714
20210518,397,373,12671,15219,11099,16781.85714285714
20210519,367,59,16068,12671,13436,17157.85714285714
20210520,342,158,20540,16068,16592,17721.85714285714
20210521,609,575,24921,20540,20480,18356.285714285717
20210522,39,193,35025,24921,15523,21142.285714285717
20210523,607,321,21597,35025,23552,20863.0
20210524,179,130,19949,21597,15219,21538.714285714286
20210525,299,340,18914,19949,12671,22430.571428571428
20210526,522,137,20490,18914,16068,23062.285714285717
20210527,171,470,11836,20490,20540,21818.85714285714
20210528,383,147,7319,11836,24921,19304.285714285717
20210529,200,423,21812,7319,35025,17416.714285714286
20210530,451,503,26981,21812,21597,18185.85714285714
20210531,194,52,21663,26981,19949,18430.714285714286
20210601,543,330,19510,21663,18914,18515.85714285714
20210602,260,226,20270,19510,20490,18484.42857142857
20210603,45,420,23576,20270,11836,20161.571428571428
20210604,60,429,25839,23576,7319,22807.285714285717
20210605,242,443,36697,25839,21812,24933.714285714286
20210606,525,523,29112,36697,26981,25238.14285714286
20210607,443,98,17672,29112,21663,24668.0
20210608,273,528,22651,17672,19510,25116.714285714286
20210609,337,488,24871,22651,20270,25774.0
20210610,243,71,25642,24871,23576,26069.14285714286
20210611,544,450,29897,25642,25839,26648.85714285714
20210612,425,582,34624,29897,36697,26352.714285714286
20210613,2,128,34832,34624,29112,27169.85714285714
20210614,480,322,23382,34832,17672,27985.571428571428
20210615,132,184,24204,23382,22651,28207.42857142857
20210616,409,75,25620,24204,24871,28314.42857142857
20210617,219,524,26334,25620,25642,28413.285714285717
20210618,625,547,28091,26334,29897,28155.285714285717
20210619,250,139,36328,28091,34624,28398.714285714286
20210620,14,501,21156,36328,34832,26445.0
20210621,121,382,21563,21156,23382,26185.14285714286
20210622,585,565,25528,21563,24204,26374.285714285717
20210623,115,462,23887,25528,25620,26126.714285714286
20210624,247,624,15244,23887,26334,24542.42857142857
20210625,198,129,16815,15244,28091,22931.571428571428
20210626,570,201,14662,16815,36328,19836.42857142857
20210627,429,199,28657,14662,21156,20908.0
20210628,244,475,16326,28657,21563,20159.85714285714
20210629,398,276,17727,16326,25528,19045.42857142857
20210630,384,78,18878,17727,23887,18329.85714285714
20210701,7,544,24750,18878,15244,19687.85714285714
20210702,47,217,26714,24750,16815,21102.0
20210703,233,47,33045,26714,14662,23728.14285714286
20210704,538,200,33307,33045,28657,24392.42857142857
20210705,321,525,27237,33307,16326,25951.14285714286
20210706,126,148,23627,27237,17727,26794.0
20210707,434,621,22992,23627,18878,27381.714285714286
20210708,604,510,22995,22992,24750,27131.0
20210709,113,455,29584,22995,26714,27541.0
20210710,581,611,25046,29584,33045,26398.285714285717
20210711,619,375,13238,25046,33307,23531.285714285717
20210712,435,172,20058,13238,27237,22505.714285714286
20210713,232,213,22885,20058,23627,22399.714285714286
20210714,404,54,25505,22885,22992,22758.714285714286
20210715,101,178,20869,25505,22995,22455.0
20210716,220,424,24010,20869,29584,21658.714285714286
20210717,1,25,37261,24010,25046,23403.714285714286
20210718,255,554,32017,37261,13238,26086.42857142857
20210719,566,185,23872,32017,20058,26631.285714285717
20210720,347,163,26227,23872,22885,27108.714285714286
20210721,601,628,25444,26227,25505,27100.0
20210722,228,240,26101,25444,20869,27847.42857142857
20210723,567,405,26232,26101,24010,28164.85714285714
20210724,363,89,31669,26232,37261,27366.0
20210725,529,481,30928,31669,32017,27210.42857142857
20210726,267,131,23652,30928,23872,27179.0
20210727,390,456,25047,23652,26227,27010.42857142857
20210728,294,277,26151,25047,25444,27111.42857142857
20210729,105,249,26560,26151,26101,27177.0
20210730,152,635,29648,26560,26232,27665.0
20210731,40,516,35739,29648,31669,28246.42857142857
20210801,481,617,30058,35739,30928,28122.14285714286
20210802,89,227,23302,30058,23652,28072.14285714286
20210803,348,107,24773,23302,25047,28033.0
20210804,571,8,25215,24773,26151,27899.285714285717
20210805,509,284,26213,25215,26560,27849.714285714286
20210806,370,256,26876,26213,29648,27453.714285714286
20210807,251,271,35580,26876,35739,27431.0
20210808,25,446,27451,35580,30058,27058.571428571428
20210809,489,518,17085,27451,23302,26170.42857142857
20210810,55,489,20539,17085,24773,25565.571428571428
20210811,81,598,21222,20539,25215,24995.14285714286
20210812,312,629,24047,21222,26213,24685.714285714286
20210813,405,471,28742,24047,26876,24952.285714285717
20210814,421,55,37328,28742,35580,25202.0
20210815,234,472,31379,37328,27451,25763.14285714286
20210816,630,357,23447,31379,17085,26672.0
20210817,631,164,24852,23447,20539,27288.14285714286
20210818,199,316,25211,24852,21222,27858.0
20210819,554,576,25160,25211,24047,28017.0
20210820,116,272,28344,25160,28742,27960.14285714286
20210821,385,350,31412,28344,37328,27115.0
20210822,52,363,30316,31412,31379,26963.14285714286
20210823,516,289,23607,30316,23447,26986.0
20210824,366,347,17496,23607,24852,25935.14285714286
20210825,391,492,20604,17496,25211,25277.0
20210826,50,331,26247,20604,25160,25432.285714285717
20210827,151,245,27724,26247,28344,25343.714285714286
20210828,203,42,30735,27724,31412,25247.0
20210829,468,560,23554,30735,30316,24281.0
20210830,464,532,22570,23554,23607,24132.85714285714
20210831,608,513,23263,22570,17496,24956.714285714286
20210901,432,468,25025,23263,20604,25588.285714285717
20210902,358,612,24981,25025,26247,25407.42857142857
20210903,180,541,24010,24981,27724,24876.85714285714
20210904,106,625,27857,24010,30735,24465.714285714286
20210905,572,583,32858,27857,23554,25794.85714285714
20210906,452,551,29033,32858,22570,26718.14285714286
20210907,555,19,19407,29033,23263,26167.285714285717
20210908,183,90,24442,19407,25025,26084.0
20210909,41,601,25208,24442,24981,26116.42857142857
20210910,107,9,26983,25208,24010,26541.14285714286
20210911,66,108,32806,26983,27857,27248.14285714286
20210912,51,151,26935,32806,32858,26402.0
20210913,539,413,21851,26935,29033,25376.0
20210914,322,60,23357,21851,19407,25940.285714285717
20210915,444,366,24853,23357,24442,25999.0
20210916,256,285,27164,24853,25208,26278.42857142857
20210917,326,383,27005,27164,26983,26281.571428571428
20210918,160,389,33011,27005,32806,26310.85714285714
20210919,482,61,28802,33011,26935,26577.571428571428
20210920,557,269,20055,28802,21851,26321.0
20210921,172,140,18303,20055,23357,25599.0
20210922,114,152,17179,18303,24853,24502.714285714286
20210923,42,273,20728,17179,27164,23583.285714285717
20210924,173,145,24947,20728,27005,23289.285714285717
20210925,371,102,30473,24947,33011,22926.714285714286
20210926,502,613,26707,30473,28802,22627.42857142857
20210927,416,589,21688,26707,20055,22860.714285714286
20210928,393,308,22755,21688,18303,23496.714285714286
20210929,495,508,23645,22755,17179,24420.42857142857
20210930,618,636,24079,23645,20728,24899.14285714286
20211001,490,30,27170,24079,24947,25216.714285714286
20211002,161,421,24616,27170,30473,24380.0
20211003,3,584,19724,24616,26707,23382.42857142857
20211004,426,168,18688,19724,21688,22953.85714285714
20211005,46,536,21168,18688,22755,22727.14285714286
20211006,412,410,21918,21168,23645,22480.42857142857
20211007,530,259,17278,21918,24079,21508.85714285714
20211008,164,577,22166,17278,27170,20794.0
20211009,610,533,33202,22166,24616,22020.571428571428
20211010,127,254,32031,33202,19724,23778.714285714286
20211011,144,444,13970,32031,18688,23104.714285714286
20211012,327,62,20992,13970,21168,23079.571428571428
20211013,290,228,19563,20992,21918,22743.14285714286
20211014,317,440,22356,19563,17278,23468.571428571428
20211015,436,13,21814,22356,22166,23418.285714285717
20211016,21,590,27107,21814,33202,22547.571428571428
20211017,622,48,25205,27107,32031,21572.42857142857
20211018,453,379,21671,25205,13970,22672.571428571428
20211019,266,545,23869,21671,20992,23083.571428571428
20211020,68,397,23718,23869,19563,23677.14285714286
20211021,73,260,18304,23718,22356,23098.285714285717
20211022,4,422,20768,18304,21814,22948.85714285714
