date,date_key,year,month,day,day_of_week,week_of_year,month_name,is_weekend,season
2021-11-11,20211111,2021,11,11,5,45,November,0,Fall
2021-03-07,20210307,2021,3,7,1,9,March,1,Spring
2020-05-24,20200524,2020,5,24,1,21,May,1,Spring
2020-06-04,20200604,2020,6,4,5,23,June,0,Summer
2021-07-13,20210713,2021,7,13,3,28,July,0,Summer
2021-09-05,20210905,2021,9,5,1,35,September,1,Fall
2020-10-18,20201018,2020,10,18,1,42,October,1,Fall
2020-04-29,20200429,2020,4,29,4,18,April,0,Spring
2020-12-25,20201225,2020,12,25,6,52,December,0,Winter
2021-11-01,20211101,2021,11,1,2,44,November,0,Fall
2021-05-29,20210529,2021,5,29,7,21,May,1,Spring
2021-09-09,20210909,2021,9,9,5,36,September,0,Fall
2020-10-19,20201019,2020,10,19,2,43,October,0,Fall
2021-05-07,20210507,2021,5,7,6,18,May,0,Spring
2021-07-11,20210711,2021,7,11,1,27,July,1,Summer
2020-05-10,20200510,2020,5,10,1,19,May,1,Spring
2020-12-22,20201222,2020,12,22,3,52,December,0,Winter
2020-04-26,20200426,2020,4,26,1,17,April,1,Spring
2020-08-22,20200822,2020,8,22,7,34,August,1,Summer
2020-12-30,20201230,2020,12,30,4,53,December,0,Winter
2021-04-21,20210421,2021,4,21,4,16,April,0,Spring
2020-04-21,20200421,2020,4,21,3,17,April,0,Spring
2021-09-06,20210906,2021,9,6,2,36,September,0,Fall
2021-11-17,20211117,2021,11,17,4,46,November,0,Fall
2020-11-06,20201106,2020,11,6,6,45,November,0,Fall
2021-06-20,20210620,2021,6,20,1,24,June,1,Summer
2021-06-27,20210627,2021,6,27,1,25,June,1,Summer
2021-12-14,20211214,2021,12,14,3,50,December,0,Winter
2020-07-05,20200705,2020,7,5,1,27,July,1,Summer
2020-12-13,20201213,2020,12,13,1,50,December,1,Winter
2021-07-08,20210708,2021,7,8,5,27,July,0,Summer
2021-08-25,20210825,2021,8,25,4,34,August,0,Summer
2021-11-23,20211123,2021,11,23,3,47,November,0,Fall
2021-12-27,20211227,2021,12,27,2,52,December,0,Winter
2020-10-05,20201005,2020,10,5,2,41,October,0,Fall
2021-02-26,20210226,2021,2,26,6,8,February,0,Winter
2021-06-28,20210628,2021,6,28,2,26,June,0,Summer
2021-09-13,20210913,2021,9,13,2,37,September,0,Fall
2021-09-26,20210926,2021,9,26,1,38,September,1,Fall
2020-04-19,20200419,2020,4,19,1,16,April,1,Spring
2020-06-05,20200605,2020,6,5,6,23,June,0,Summer
2021-04-07,20210407,2021,4,7,4,14,April,0,Spring
2021-06-01,20210601,2021,6,1,3,22,June,0,Summer
2020-08-04,20200804,2020,8,4,3,32,August,0,Summer
2020-09-04,20200904,2020,9,4,6,36,September,0,Fall
2021-08-23,20210823,2021,8,23,2,34,August,0,Summer
2021-04-15,20210415,2021,4,15,5,15,April,0,Spring
2021-05-21,20210521,2021,5,21,6,20,May,0,Spring
2021-12-10,20211210,2021,12,10,6,49,December,0,Winter
2020-06-17,20200617,2020,6,17,4,25,June,0,Summer
2020-04-13,20200413,2020,4,13,2,16,April,0,Spring
2020-07-02,20200702,2020,7,2,5,27,July,0,Summer
2020-06-12,20200612,2020,6,12,6,24,June,0,Summer
2020-08-09,20200809,2020,8,9,1,32,August,1,Summer
2020-10-29,20201029,2020,10,29,5,44,October,0,Fall
2021-10-20,20211020,2021,10,20,4,42,October,0,Fall
2020-05-17,20200517,2020,5,17,1,20,May,1,Spring
2020-06-25,20200625,2020,6,25,5,26,June,0,Summer
2021-09-30,20210930,2021,9,30,5,39,September,0,Fall
2021-12-04,20211204,2021,12,4,7,48,December,1,Winter
2021-12-12,20211212,2021,12,12,1,49,December,1,Winter
2020-12-23,20201223,2020,12,23,4,52,December,0,Winter
2021-05-09,20210509,2021,5,9,1,18,May,1,Spring
2021-06-17,20210617,2021,6,17,5,24,June,0,Summer
2021-11-16,20211116,2021,11,16,3,46,November,0,Fall
2021-12-08,20211208,2021,12,8,4,49,December,0,Winter
2020-12-21,20201221,2020,12,21,2,52,December,0,Winter
2021-08-12,20210812,2021,8,12,5,32,August,0,Summer
2021-01-05,20210105,2021,1,5,3,1,January,0,Winter
2021-05-31,20210531,2021,5,31,2,22,May,0,Spring
2020-07-03,20200703,2020,7,3,6,27,July,0,Summer
2020-08-26,20200826,2020,8,26,4,35,August,0,Summer
2021-08-24,20210824,2021,8,24,3,34,August,0,Summer
2020-12-12,20201212,2020,12,12,7,50,December,1,Winter
2021-04-23,20210423,2021,4,23,6,16,April,0,Spring
2020-04-14,20200414,2020,4,14,3,16,April,0,Spring
2020-08-07,20200807,2020,8,7,6,32,August,0,Summer
2020-10-13,20201013,2020,10,13,3,42,October,0,Fall
2020-12-09,20201209,2020,12,9,4,50,December,0,Winter
2021-02-21,20210221,2021,2,21,1,7,February,1,Winter
2021-05-18,20210518,2021,5,18,3,20,May,0,Spring
2021-06-13,20210613,2021,6,13,1,23,June,1,Summer
2020-11-27,20201127,2020,11,27,6,48,November,0,Fall
2021-07-03,20210703,2021,7,3,7,26,July,1,Summer
2020-09-17,20200917,2020,9,17,5,38,September,0,Fall
2021-04-26,20210426,2021,4,26,2,17,April,0,Spring
2021-09-10,20210910,2021,9,10,6,36,September,0,Fall
2020-07-21,20200721,2020,7,21,3,30,July,0,Summer
2020-11-16,20201116,2020,11,16,2,47,November,0,Fall
2021-05-10,20210510,2021,5,10,2,19,May,0,Spring
2021-05-28,20210528,2021,5,28,6,21,May,0,Spring
2021-11-05,20211105,2021,11,5,6,44,November,0,Fall
2020-08-16,20200816,2020,8,16,1,33,August,1,Summer
2020-09-03,20200903,2020,9,3,5,36,September,0,Fall
2020-09-16,20200916,2020,9,16,4,38,September,0,Fall
2020-11-09,20201109,2020,11,9,2,46,November,0,Fall
2021-02-05,20210205,2021,2,5,6,5,February,0,Winter
2021-08-01,20210801,2021,8,1,1,30,August,1,Summer
2021-12-01,20211201,2021,12,1,4,48,December,0,Winter
2020-04-06,20200406,2020,4,6,2,15,April,0,Spring
2020-05-30,20200530,2020,5,30,7,22,May,1,Spring
2020-08-13,20200813,2020,8,13,5,33,August,0,Summer
2020-08-20,20200820,2020,8,20,5,34,August,0,Summer
2020-12-16,20201216,2020,12,16,4,51,December,0,Winter
2021-03-21,20210321,2021,3,21,1,11,March,1,Spring
2020-06-15,20200615,2020,6,15,2,25,June,0,Summer
2021-09-16,20210916,2021,9,16,5,37,September,0,Fall
2020-05-25,20200525,2020,5,25,2,22,May,0,Spring
2021-02-10,20210210,2021,2,10,4,6,February,0,Winter
2020-04-23,20200423,2020,4,23,5,17,April,0,Spring
2020-05-19,20200519,2020,5,19,3,21,May,0,Spring
2020-10-30,20201030,2020,10,30,6,44,October,0,Fall
2021-01-19,20210119,2021,1,19,3,3,January,0,Winter
2020-06-10,20200610,2020,6,10,4,24,June,0,Summer
2020-07-12,20200712,2020,7,12,1,28,July,1,Summer
2020-11-19,20201119,2020,11,19,5,47,November,0,Fall
2021-05-27,20210527,2021,5,27,5,21,May,0,Spring
2021-10-05,20211005,2021,10,5,3,40,October,0,Fall
2020-05-06,20200506,2020,5,6,4,19,May,0,Spring
2020-12-24,20201224,2020,12,24,5,52,December,0,Winter
2021-05-16,20210516,2021,5,16,1,19,May,1,Spring
2021-07-02,20210702,2021,7,2,6,26,July,0,Summer
2021-08-03,20210803,2021,8,3,3,31,August,0,Summer
2020-05-21,20200521,2020,5,21,5,21,May,0,Spring
2020-06-28,20200628,2020,6,28,1,26,June,1,Summer
2021-02-01,20210201,2021,2,1,2,5,February,0,Winter
2021-08-20,20210820,2021,8,20,6,33,August,0,Summer
2021-12-21,20211221,2021,12,21,3,51,December,0,Winter
2020-08-23,20200823,2020,8,23,1,34,August,1,Summer
2020-12-20,20201220,2020,12,20,1,51,December,1,Winter
2020-04-20,20200420,2020,4,20,2,17,April,0,Spring
2020-07-29,20200729,2020,7,29,4,31,July,0,Summer
2020-11-05,20201105,2020,11,5,5,45,November,0,Fall
2021-03-14,20210314,2021,3,14,1,10,March,1,Spring
2021-01-24,20210124,2021,1,24,1,3,January,1,Winter
2021-12-22,20211222,2021,12,22,4,51,December,0,Winter
2021-01-22,20210122,2021,1,22,6,3,January,0,Winter
2021-02-06,20210206,2021,2,6,7,5,February,1,Winter
2021-03-12,20210312,2021,3,12,6,10,March,0,Spring
2021-06-19,20210619,2021,6,19,7,24,June,1,Summer
2021-05-15,20210515,2021,5,15,7,19,May,1,Spring
2021-05-24,20210524,2021,5,24,2,21,May,0,Spring
2021-07-24,20210724,2021,7,24,7,29,July,1,Summer
2020-10-09,20201009,2020,10,9,6,41,October,0,Fall
2021-09-28,20210928,2021,9,28,3,39,September,0,Fall
2021-10-18,20211018,2021,10,18,2,42,October,0,Fall
2021-12-28,20211228,2021,12,28,3,52,December,0,Winter
2020-04-09,20200409,2020,4,9,5,15,April,0,Spring
2020-07-28,20200728,2020,7,28,3,31,July,0,Summer
2020-11-10,20201110,2020,11,10,3,46,November,0,Fall
2021-11-07,20211107,2021,11,7,1,44,November,1,Fall
2021-11-24,20211124,2021,11,24,4,47,November,0,Fall
2020-09-13,20200913,2020,9,13,1,37,September,1,Fall
2021-07-01,20210701,2021,7,1,5,26,July,0,Summer
2021-10-22,20211022,2021,10,22,6,42,October,0,Fall
2020-04-17,20200417,2020,4,17,6,16,April,0,Spring
2020-08-12,20200812,2020,8,12,4,33,August,0,Summer
2021-06-02,20210602,2021,6,2,4,22,June,0,Summer
2021-09-29,20210929,2021,9,29,4,39,September,0,Fall
2021-11-29,20211129,2021,11,29,2,48,November,0,Fall
2020-05-09,20200509,2020,5,9,7,19,May,1,Spring
2020-10-06,20201006,2020,10,6,3,41,October,0,Fall
2020-10-28,20201028,2020,10,28,4,44,October,0,Fall
2020-11-01,20201101,2020,11,1,1,44,November,1,Fall
2021-03-24,20210324,2021,3,24,4,12,March,0,Spring
2020-06-18,20200618,2020,6,18,5,25,June,0,Summer
2021-01-23,20210123,2021,1,23,7,3,January,1,Winter
2021-03-09,20210309,2021,3,9,3,10,March,0,Spring
2020-09-01,20200901,2020,9,1,3,36,September,0,Fall
2021-07-18,20210718,2021,7,18,1,28,July,1,Summer
2020-11-02,20201102,2020,11,2,2,45,November,0,Fall
2021-04-28,20210428,2021,4,28,4,17,April,0,Spring
2021-09-12,20210912,2021,9,12,1,36,September,1,Fall
2020-11-28,20201128,2020,11,28,7,48,November,1,Fall
2021-03-10,20210310,2021,3,10,4,10,March,0,Spring
2021-03-15,20210315,2021,3,15,2,11,March,0,Spring
2021-07-31,20210731,2021,7,31,7,30,July,1,Summer
2020-09-09,20200909,2020,9,9,4,37,September,0,Fall
2020-10-25,20201025,2020,10,25,1,43,October,1,Fall
2021-03-26,20210326,2021,3,26,6,12,March,0,Spring
2021-09-04,20210904,2021,9,4,7,35,September,1,Fall
2021-12-26,20211226,2021,12,26,1,51,December,1,Winter
2020-05-27,20200527,2020,5,27,4,22,May,0,Spring
2020-07-19,20200719,2020,7,19,1,29,July,1,Summer
2020-11-17,20201117,2020,11,17,3,47,November,0,Fall
2021-10-23,20211023,2021,10,23,7,42,October,1,Fall
2020-05-12,20200512,2020,5,12,3,20,May,0,Spring
2020-07-31,20200731,2020,7,31,6,31,July,0,Summer
2020-10-16,20201016,2020,10,16,6,42,October,0,Fall
2021-06-08,20210608,2021,6,8,3,23,June,0,Summer
2020-09-06,20200906,2020,9,6,1,36,September,1,Fall
2020-12-03,20201203,2020,12,3,5,49,December,0,Winter
2021-04-04,20210404,2021,4,4,1,13,April,1,Spring
2021-04-30,20210430,2021,4,30,6,17,April,0,Spring
2021-09-03,20210903,2021,9,3,6,35,September,0,Fall
2021-12-29,20211229,2021,12,29,4,52,December,0,Winter
2020-12-10,20201210,2020,12,10,5,50,December,0,Winter
2021-02-19,20210219,2021,2,19,6,7,February,0,Winter
2020-07-18,20200718,2020,7,18,7,29,July,1,Summer
2020-11-22,20201122,2020,11,22,1,47,November,1,Fall
2020-06-20,20200620,2020,6,20,7,25,June,1,Summer
2021-03-02,20210302,2021,3,2,3,9,March,0,Spring
2020-07-23,20200723,2020,7,23,5,30,July,0,Summer
2020-11-24,20201124,2020,11,24,3,48,November,0,Fall
2021-03-25,20210325,2021,3,25,5,12,March,0,Spring
2021-04-11,20210411,2021,4,11,1,14,April,1,Spring
2021-04-20,20210420,2021,4,20,3,16,April,0,Spring
2020-04-24,20200424,2020,4,24,6,17,April,0,Spring
2020-06-16,20200616,2020,6,16,3,25,June,0,Summer
2020-08-25,20200825,2020,8,25,3,35,August,0,Summer
2020-12-02,20201202,2020,12,2,4,49,December,0,Winter
2021-06-26,20210626,2021,6,26,7,25,June,1,Summer
2020-04-28,20200428,2020,4,28,3,18,April,0,Spring
2021-07-04,20210704,2021,7,4,1,26,July,1,Summer
2021-09-21,20210921,2021,9,21,3,38,September,0,Fall
2021-10-10,20211010,2021,10,10,1,40,October,1,Fall
2021-10-29,20211029,2021,10,29,6,43,October,0,Fall
2020-07-26,20200726,2020,7,26,1,30,July,1,Summer
2021-11-10,20211110,2021,11,10,4,45,November,0,Fall
2020-10-12,20201012,2020,10,12,2,42,October,0,Fall
2020-06-09,20200609,2020,6,9,3,24,June,0,Summer
2021-03-30,20210330,2021,3,30,3,13,March,0,Spring
2021-07-25,20210725,2021,7,25,1,29,July,1,Summer
2021-08-28,20210828,2021,8,28,7,34,August,1,Summer
2021-08-30,20210830,2021,8,30,2,35,August,0,Summer
2021-10-17,20211017,2021,10,17,1,41,October,1,Fall
2021-03-05,20210305,2021,3,5,6,9,March,0,Spring
2021-03-18,20210318,2021,3,18,5,11,March,0,Spring
2021-04-16,20210416,2021,4,16,6,15,April,0,Spring
2021-05-04,20210504,2021,5,4,3,18,May,0,Spring
2021-08-02,20210802,2021,8,2,2,31,August,0,Summer
2021-12-30,20211230,2021,12,30,5,52,December,0,Winter
2020-05-04,20200504,2020,5,4,2,19,May,0,Spring
2021-02-20,20210220,2021,2,20,7,7,February,1,Winter
2021-10-25,20211025,2021,10,25,2,43,October,0,Fall
2021-10-31,20211031,2021,10,31,1,43,October,1,Fall
2020-11-18,20201118,2020,11,18,4,47,November,0,Fall
2020-12-19,20201219,2020,12,19,7,51,December,1,Winter
2021-01-09,20210109,2021,1,9,7,1,January,1,Winter
2021-11-08,20211108,2021,11,8,2,45,November,0,Fall
2020-04-03,20200403,2020,4,3,6,14,April,0,Spring
2020-07-16,20200716,2020,7,16,5,29,July,0,Summer
2020-06-22,20200622,2020,6,22,2,26,June,0,Summer
2021-04-13,20210413,2021,4,13,3,15,April,0,Spring
2021-04-17,20210417,2021,4,17,7,15,April,1,Spring
2021-05-23,20210523,2021,5,23,1,20,May,1,Spring
2021-10-03,20211003,2021,10,3,1,39,October,1,Fall
2020-07-25,20200725,2020,7,25,7,30,July,1,Summer
2021-10-24,20211024,2021,10,24,1,42,October,1,Fall
2021-12-11,20211211,2021,12,11,7,49,December,1,Winter
2020-04-27,20200427,2020,4,27,2,18,April,0,Spring
2020-11-04,20201104,2020,11,4,4,45,November,0,Fall
2021-01-01,20210101,2021,1,1,6,53,January,0,Winter
2021-03-08,20210308,2021,3,8,2,10,March,0,Spring
2020-09-11,20200911,2020,9,11,6,37,September,0,Fall
2021-04-06,20210406,2021,4,6,3,14,April,0,Spring
2021-10-21,20211021,2021,10,21,5,42,October,0,Fall
2021-12-13,20211213,2021,12,13,2,50,December,0,Winter
2020-08-15,20200815,2020,8,15,7,33,August,1,Summer
2020-12-15,20201215,2020,12,15,3,51,December,0,Winter
2020-04-15,20200415,2020,4,15,4,16,April,0,Spring
2020-05-11,20200511,2020,5,11,2,20,May,0,Spring
2020-06-24,20200624,2020,6,24,4,26,June,0,Summer
2020-09-05,20200905,2020,9,5,7,36,September,1,Fall
2020-09-22,20200922,2020,9,22,3,39,September,0,Fall
2020-09-25,20200925,2020,9,25,6,39,September,0,Fall
2020-12-31,20201231,2020,12,31,5,53,December,0,Winter
2021-01-26,20210126,2021,1,26,3,4,January,0,Winter
2021-01-30,20210130,2021,1,30,7,4,January,1,Winter
2021-02-08,20210208,2021,2,8,2,6,February,0,Winter
2020-06-07,20200607,2020,6,7,1,23,June,1,Summer
2021-02-09,20210209,2021,2,9,3,6,February,0,Winter
2021-05-06,20210506,2021,5,6,5,18,May,0,Spring
2021-09-07,20210907,2021,9,7,3,36,September,0,Fall
2021-09-24,20210924,2021,9,24,6,38,September,0,Fall
2021-12-03,20211203,2021,12,3,6,48,December,0,Winter
2020-05-02,20200502,2020,5,2,7,18,May,1,Spring
2020-07-17,20200717,2020,7,17,6,29,July,0,Summer
2021-02-11,20210211,2021,2,11,5,6,February,0,Winter
2021-03-23,20210323,2021,3,23,3,12,March,0,Spring
2021-06-09,20210609,2021,6,9,4,23,June,0,Summer
2021-06-14,20210614,2021,6,14,2,24,June,0,Summer
2021-11-02,20211102,2021,11,2,3,44,November,0,Fall
2020-07-07,20200707,2020,7,7,3,28,July,0,Summer
2021-04-18,20210418,2021,4,18,1,15,April,1,Spring
2020-07-11,20200711,2020,7,11,7,28,July,1,Summer
2020-11-20,20201120,2020,11,20,6,47,November,0,Fall
2021-10-06,20211006,2021,10,6,4,40,October,0,Fall
2021-12-25,20211225,2021,12,25,7,51,December,1,Winter
2020-09-18,20200918,2020,9,18,6,38,September,0,Fall
2021-07-14,20210714,2021,7,14,4,28,July,0,Summer
2021-07-27,20210727,2021,7,27,3,30,July,0,Summer
2021-10-16,20211016,2021,10,16,7,41,October,1,Fall
2021-02-17,20210217,2021,2,17,4,7,February,0,Winter
2021-02-25,20210225,2021,2,25,5,8,February,0,Winter
2021-08-11,20210811,2021,8,11,4,32,August,0,Summer
2021-11-14,20211114,2021,11,14,1,45,November,1,Fall
2020-09-28,20200928,2020,9,28,2,40,September,0,Fall
2020-12-28,20201228,2020,12,28,2,53,December,0,Winter
2021-09-17,20210917,2021,9,17,6,37,September,0,Fall
2020-08-01,20200801,2020,8,1,7,31,August,1,Summer
2020-05-05,20200505,2020,5,5,3,19,May,0,Spring
2020-08-11,20200811,2020,8,11,3,33,August,0,Summer
2021-01-07,20210107,2021,1,7,5,1,January,0,Winter
2021-04-08,20210408,2021,4,8,5,14,April,0,Spring
2021-10-04,20211004,2021,10,4,2,40,October,0,Fall
2020-07-10,20200710,2020,7,10,6,28,July,0,Summer
2021-07-21,20210721,2021,7,21,4,29,July,0,Summer
2021-10-09,20211009,2021,10,9,7,40,October,1,Fall
2020-04-07,20200407,2020,4,7,3,15,April,0,Spring
2020-06-27,20200627,2020,6,27,7,26,June,1,Summer
2020-12-26,20201226,2020,12,26,7,52,December,1,Winter
2020-05-14,20200514,2020,5,14,5,20,May,0,Spring
2020-08-08,20200808,2020,8,8,7,32,August,1,Summer
2020-08-10,20200810,2020,8,10,2,33,August,0,Summer
2020-12-04,20201204,2020,12,4,6,49,December,0,Winter
2021-09-15,20210915,2021,9,15,4,37,September,0,Fall
2020-06-06,20200606,2020,6,6,7,23,June,1,Summer
2020-10-03,20201003,2020,10,3,7,40,October,1,Fall
2020-10-15,20201015,2020,10,15,5,42,October,0,Fall
2021-03-20,20210320,2021,3,20,7,11,March,1,Spring
2021-05-08,20210508,2021,5,8,7,18,May,1,Spring
2021-08-29,20210829,2021,8,29,1,34,August,1,Summer
2020-06-08,20200608,2020,6,8,2,24,June,0,Summer
2020-09-08,20200908,2020,9,8,3,37,September,0,Fall
2020-04-04,20200404,2020,4,4,7,14,April,1,Spring
2020-05-03,20200503,2020,5,3,1,18,May,1,Spring
2020-07-08,20200708,2020,7,8,4,28,July,0,Summer
2021-01-03,20210103,2021,1,3,1,53,January,1,Winter
2021-08-14,20210814,2021,8,14,7,32,August,1,Summer
2021-11-18,20211118,2021,11,18,5,46,November,0,Fall
2020-08-02,20200802,2020,8,2,1,31,August,1,Summer
2020-11-03,20201103,2020,11,3,3,45,November,0,Fall
2021-08-04,20210804,2021,8,4,4,31,August,0,Summer
2021-08-22,20210822,2021,8,22,1,33,August,1,Summer
2020-05-16,20200516,2020,5,16,7,20,May,1,Spring
2020-09-26,20200926,2020,9,26,7,39,September,1,Fall
2021-11-27,20211127,2021,11,27,7,47,November,1,Fall
2021-09-18,20210918,2021,9,18,7,37,September,1,Fall
2021-10-14,20211014,2021,10,14,5,41,October,0,Fall
2021-01-21,20210121,2021,1,21,5,3,January,0,Winter
2020-06-21,20200621,2020,6,21,1,25,June,1,Summer
2020-06-23,20200623,2020,6,23,3,26,June,0,Summer
2021-04-03,20210403,2021,4,3,7,13,April,1,Spring
2021-06-29,20210629,2021,6,29,3,26,June,0,Summer
2021-07-07,20210707,2021,7,7,4,27,July,0,Summer
2020-05-01,20200501,2020,5,1,6,18,May,0,Spring
2020-09-27,20200927,2020,9,27,1,39,September,1,Fall
2021-08-10,20210810,2021,8,10,3,32,August,0,Summer
2021-10-15,20211015,2021,10,15,6,41,October,0,Fall
2021-03-13,20210313,2021,3,13,7,10,March,1,Spring
2021-07-26,20210726,2021,7,26,2,30,July,0,Summer
2021-08-15,20210815,2021,8,15,1,32,August,1,Summer
2020-06-14,20200614,2020,6,14,1,24,June,1,Summer
2020-12-01,20201201,2020,12,1,3,49,December,0,Winter
2021-04-14,20210414,2021,4,14,4,15,April,0,Spring
2021-05-17,20210517,2021,5,17,2,20,May,0,Spring
2020-04-25,20200425,2020,4,25,7,17,April,1,Spring
2020-05-20,20200520,2020,5,20,4,21,May,0,Spring
2021-01-04,20210104,2021,1,4,2,1,January,0,Winter
2021-01-16,20210116,2021,1,16,7,2,January,1,Winter
2021-08-26,20210826,2021,8,26,5,34,August,0,Summer
2021-10-12,20211012,2021,10,12,3,41,October,0,Fall
2020-11-11,20201111,2020,11,11,4,46,November,0,Fall
2021-12-24,20211224,2021,12,24,6,51,December,0,Winter
2021-04-02,20210402,2021,4,2,6,13,April,0,Spring
2021-07-09,20210709,2021,7,9,6,27,July,0,Summer
2021-11-09,20211109,2021,11,9,3,45,November,0,Fall
2021-12-07,20211207,2021,12,7,3,49,December,0,Winter
2020-04-01,20200401,2020,4,1,4,14,April,0,Spring
2020-04-10,20200410,2020,4,10,6,15,April,0,Spring
2021-07-12,20210712,2021,7,12,2,28,July,0,Summer
2021-11-26,20211126,2021,11,26,6,47,November,0,Fall
2021-11-28,20211128,2021,11,28,1,47,November,1,Fall
2021-03-01,20210301,2021,3,1,2,9,March,0,Spring
2021-06-07,20210607,2021,6,7,2,23,June,0,Summer
2021-08-08,20210808,2021,8,8,1,31,August,1,Summer
2020-06-11,20200611,2020,6,11,5,24,June,0,Summer
2020-07-01,20200701,2020,7,1,4,27,July,0,Summer
2020-09-12,20200912,2020,9,12,7,37,September,1,Fall
2020-11-08,20201108,2020,11,8,1,45,November,1,Fall
2021-03-27,20210327,2021,3,27,7,12,March,1,Spring
2021-05-26,20210526,2021,5,26,4,21,May,0,Spring
2020-05-28,20200528,2020,5,28,5,22,May,0,Spring
2020-12-27,20201227,2020,12,27,1,52,December,1,Winter
2021-03-29,20210329,2021,3,29,2,13,March,0,Spring
2021-04-19,20210419,2021,4,19,2,16,April,0,Spring
2021-05-14,20210514,2021,5,14,6,19,May,0,Spring
2021-11-15,20211115,2021,11,15,2,46,November,0,Fall
2021-02-27,20210227,2021,2,27,7,8,February,1,Winter
2020-09-29,20200929,2020,9,29,3,40,September,0,Fall
2021-06-06,20210606,2021,6,6,1,22,June,1,Summer
2020-11-12,20201112,2020,11,12,5,46,November,0,Fall
2021-01-31,20210131,2021,1,31,1,4,January,1,Winter
2020-11-26,20201126,2020,11,26,5,48,November,0,Fall
2020-12-08,20201208,2020,12,8,3,50,December,0,Winter
2020-06-13,20200613,2020,6,13,7,24,June,1,Summer
2021-02-24,20210224,2021,2,24,4,8,February,0,Winter
2021-02-18,20210218,2021,2,18,5,7,February,0,Winter
2021-04-27,20210427,2021,4,27,3,17,April,0,Spring
2021-08-13,20210813,2021,8,13,6,32,August,0,Summer
2020-09-19,20200919,2020,9,19,7,38,September,1,Fall
2020-05-13,20200513,2020,5,13,4,20,May,0,Spring
2020-11-13,20201113,2020,11,13,6,46,November,0,Fall
2021-10-13,20211013,2021,10,13,4,41,October,0,Fall
2020-06-26,20200626,2020,6,26,6,26,June,0,Summer
2021-11-21,20211121,2021,11,21,1,46,November,1,Fall
2020-10-08,20201008,2020,10,8,5,41,October,0,Fall
2020-10-14,20201014,2020,10,14,4,42,October,0,Fall
2020-10-22,20201022,2020,10,22,5,43,October,0,Fall
2020-12-29,20201229,2020,12,29,3,53,December,0,Winter
2021-06-11,20210611,2021,6,11,6,23,June,0,Summer
2021-08-19,20210819,2021,8,19,5,33,August,0,Summer
2021-12-23,20211223,2021,12,23,5,51,December,0,Winter
2020-09-30,20200930,2020,9,30,4,40,September,0,Fall
2021-08-06,20210806,2021,8,6,6,31,August,0,Summer
2021-01-10,20210110,2021,1,10,1,1,January,1,Winter
2020-10-07,20201007,2020,10,7,4,41,October,0,Fall
2021-10-01,20211001,2021,10,1,6,39,October,0,Fall
