date,ride_count,temperature_2m_mean,temperature_2m_max,temperature_2m_min,precipitation_sum,windspeed_10m_max,holiday_name,is_holiday,day_of_week,month,day,week_of_year,is_weekend,season,lag_1,lag_7,rolling_mean_7
2020-05-06,4775,8.3,12.5,3.6,0.0,19.8,None,0,4,5,6,19,0,Spring,1953,645,5415.0
2020-05-07,4997,9.9,17.6,6.1,0.0,31.3,None,0,5,5,7,19,0,Spring,4775,2567,5762.142857142857
2020-05-08,2793,3.8,6.0,1.4,0.0,38.8,None,0,6,5,8,19,0,Spring,4997,4751,5482.428571428572
2020-05-09,7945,6.4,12.8,-1.3,0.0,26.1,None,0,7,5,9,19,1,Spring,2793,11811,4930.142857142857
2020-05-10,1394,7.0,10.6,3.5,7.6,41.0,None,0,1,5,10,19,1,Spring,7945,9414,3784.4285714285716
2020-05-11,2871,5.2,8.2,3.1,0.1,19.4,None,0,2,5,11,20,0,Spring,1394,2634,3818.285714285714
2020-05-12,4745,7.8,14.0,2.9,0.0,21.0,None,0,3,5,12,20,0,Spring,2871,1953,4217.142857142857
2020-05-13,5762,11.6,17.4,5.4,0.0,22.9,None,0,4,5,13,20,0,Spring,4745,4775,4358.142857142857
2020-05-14,3036,15.9,22.0,10.8,17.6,25.3,None,0,5,5,14,20,0,Spring,5762,4997,4078.0
2020-05-15,7031,15.9,19.7,8.8,8.0,25.5,None,0,6,5,15,20,0,Spring,3036,2793,4683.428571428572
2020-05-16,8975,10.0,12.7,7.2,0.2,22.4,None,0,7,5,16,20,1,Spring,7031,7945,4830.571428571428
2020-05-17,691,15.1,20.2,10.8,61.4,28.7,None,0,1,5,17,20,1,Spring,8975,1394,4730.142857142857
2020-05-18,3885,13.6,18.0,9.7,0.3,19.7,None,0,2,5,18,21,0,Spring,691,2871,4875.0
2020-05-19,2852,11.8,14.6,9.9,1.9,28.2,None,0,3,5,19,21,0,Spring,3885,4745,4604.571428571428
2020-05-20,6348,12.3,15.4,10.1,0.0,24.6,None,0,4,5,20,21,0,Spring,2852,5762,4688.285714285715
2020-05-21,5602,12.6,15.8,10.1,0.3,18.8,None,0,5,5,21,21,0,Spring,6348,3036,5054.857142857143
2020-05-22,7569,13.2,16.6,10.1,0.0,13.2,None,0,6,5,22,21,0,Spring,5602,7031,5131.714285714285
2020-05-23,8784,17.2,22.2,10.6,19.0,23.6,None,0,7,5,23,21,1,Spring,7569,8975,5104.428571428572
2020-05-24,14836,21.8,27.7,16.1,0.0,22.2,None,0,1,5,24,21,1,Spring,8784,691,7125.142857142857
2020-05-25,14268,23.3,27.4,19.6,1.1,18.8,Memorial Day,1,2,5,25,22,0,Spring,14836,3885,8608.42857142857
2020-05-26,7711,23.2,26.4,20.0,2.7,22.3,None,0,3,5,26,22,0,Spring,14268,2852,9302.57142857143
2020-05-27,8121,22.2,25.4,19.2,3.9,20.4,None,0,4,5,27,22,0,Spring,7711,6348,9555.857142857143
2020-05-28,6785,20.6,24.2,14.7,13.8,21.9,None,0,5,5,28,22,0,Spring,8121,5602,9724.857142857143
2020-05-29,10580,18.0,22.2,15.3,6.0,20.4,None,0,6,5,29,22,0,Spring,6785,7569,10155.0
2020-05-30,17162,14.5,17.0,11.2,1.3,16.6,None,0,7,5,30,22,1,Spring,10580,8784,11351.857142857143
2020-05-31,193,12.2,14.6,9.5,0.0,22.3,None,0,1,5,31,22,1,Spring,17162,14836,9260.0
2020-06-03,6296,22.9,26.0,21.0,1.6,22.7,None,0,4,6,3,23,0,Summer,193,14268,8121.142857142857
2020-06-04,7628,22.9,26.6,18.1,0.6,15.9,None,0,5,6,4,23,0,Summer,6296,7711,8109.285714285715
2020-06-05,8922,24.2,29.8,17.2,0.2,18.4,None,0,6,6,5,23,0,Summer,7628,8121,8223.714285714286
2020-06-06,15239,17.3,20.5,13.6,0.0,22.7,None,0,7,6,6,23,1,Summer,8922,6785,9431.42857142857
2020-06-07,13224,17.2,21.4,12.6,0.0,21.5,None,0,1,6,7,23,1,Summer,15239,10580,9809.142857142857
2020-06-08,10368,23.0,28.5,17.0,0.0,20.7,None,0,2,6,8,24,0,Summer,13224,17162,8838.57142857143
2020-06-09,5608,24.3,30.0,20.3,15.1,38.5,None,0,3,6,9,24,0,Summer,10368,193,9612.142857142857
2020-06-10,7676,23.0,28.1,17.0,2.1,41.7,None,0,4,6,10,24,0,Summer,5608,6296,9809.285714285714
2020-06-11,12275,20.2,25.2,14.5,0.0,27.4,None,0,5,6,11,24,0,Summer,7676,7628,10473.142857142857
2020-06-12,11989,16.8,21.6,13.3,0.0,26.2,None,0,6,6,12,24,0,Summer,12275,8922,10911.285714285714
2020-06-13,14278,14.0,16.6,12.4,1.9,28.4,None,0,7,6,13,24,1,Summer,11989,15239,10774.0
2020-06-14,14602,15.2,17.8,12.7,0.0,22.3,None,0,1,6,14,24,1,Summer,14278,13224,10970.857142857143
2020-06-15,10164,16.5,19.9,12.0,0.0,20.2,None,0,2,6,15,25,0,Summer,14602,10368,10941.714285714286
2020-06-16,12081,19.7,25.2,14.2,0.0,21.6,None,0,3,6,16,25,0,Summer,10164,5608,11866.42857142857
2020-06-17,12827,22.0,27.5,16.2,0.0,19.7,None,0,4,6,17,25,0,Summer,12081,7676,12602.285714285714
2020-06-18,13319,23.1,28.2,17.1,0.0,18.9,None,0,5,6,18,25,0,Summer,12827,12275,12751.42857142857
2020-06-19,16307,25.5,30.9,19.1,0.0,21.2,Juneteenth,1,6,6,19,25,0,Summer,13319,11989,13368.285714285714
2020-06-20,14665,26.4,31.6,20.6,7.3,25.6,None,0,7,6,20,25,1,Summer,16307,14278,13423.57142857143
2020-06-21,14824,22.6,25.0,21.0,8.9,17.4,None,0,1,6,21,25,1,Summer,14665,14602,13455.285714285714
2020-06-22,7036,22.7,28.1,20.1,23.8,21.1,None,0,2,6,22,26,0,Summer,14824,10164,13008.42857142857
2020-06-23,13692,20.0,24.1,16.9,2.5,25.9,None,0,3,6,23,26,0,Summer,7036,12081,13238.57142857143
2020-06-24,12890,19.5,23.9,15.4,3.0,17.5,None,0,4,6,24,26,0,Summer,13692,12827,13247.57142857143
2020-06-25,16001,20.5,23.7,16.2,0.5,20.9,None,0,5,6,25,26,0,Summer,12890,13319,13630.714285714286
2020-06-26,6228,23.2,30.1,17.7,18.9,29.6,None,0,6,6,26,26,0,Summer,16001,16307,12190.857142857143
2020-06-27,20499,24.6,29.2,21.0,1.0,20.9,None,0,7,6,27,26,1,Summer,6228,14665,13024.285714285714
2020-06-28,20383,22.6,24.2,21.2,5.8,15.8,None,0,1,6,28,26,1,Summer,20499,14824,13818.42857142857
2020-06-29,9395,24.4,29.3,21.2,3.4,19.2,None,0,2,6,29,27,0,Summer,20383,7036,14155.42857142857
2020-06-30,14589,24.2,27.2,21.8,5.9,16.2,None,0,3,6,30,27,0,Summer,9395,13692,14283.57142857143
2020-07-01,15827,23.6,26.3,21.4,0.0,19.1,None,0,4,7,1,27,0,Summer,14589,12890,14703.142857142857
2020-07-02,16560,23.5,27.2,19.5,0.0,18.2,None,0,5,7,2,27,0,Summer,15827,16001,14783.0
2020-07-03,20296,24.2,28.7,18.5,0.0,13.6,None,0,6,7,3,27,0,Summer,16560,6228,16792.714285714286
2020-07-04,19931,23.5,26.7,20.4,0.0,20.0,4th of July,1,7,7,4,27,1,Summer,20296,20499,16711.571428571428
2020-07-05,18538,25.4,29.5,19.8,0.0,15.8,None,0,1,7,5,27,1,Summer,19931,20383,16448.0
2020-07-06,14826,27.9,32.5,21.2,0.3,14.7,None,0,2,7,6,28,0,Summer,18538,9395,17223.85714285714
2020-07-07,14450,28.2,32.2,23.4,3.2,15.5,None,0,3,7,7,28,0,Summer,14826,14589,17204.0
2020-07-08,15885,27.1,30.5,24.0,0.5,16.5,None,0,4,7,8,28,0,Summer,14450,15827,17212.285714285714
2020-07-09,14801,28.6,33.8,24.4,3.1,24.5,None,0,5,7,9,28,0,Summer,15885,16560,16961.0
2020-07-10,16912,24.5,28.5,21.8,19.0,27.4,None,0,6,7,10,28,0,Summer,14801,20296,16477.571428571428
2020-07-11,23072,24.8,29.5,20.2,1.9,22.5,None,0,7,7,11,28,1,Summer,16912,19931,16926.285714285714
2020-07-12,22680,21.5,22.8,19.2,6.5,28.2,None,0,1,7,12,28,1,Summer,23072,18538,17518.0
2020-07-13,16633,21.5,24.8,16.9,0.6,16.0,None,0,2,7,13,29,0,Summer,22680,14826,17776.14285714286
2020-07-14,17311,23.9,29.7,17.9,0.0,23.2,None,0,3,7,14,29,0,Summer,16633,14450,18184.85714285714
2020-07-15,9357,24.9,29.9,21.0,58.1,28.2,None,0,4,7,15,29,0,Summer,17311,15885,17252.285714285714
2020-07-16,17263,22.7,24.3,21.3,12.1,34.1,None,0,5,7,16,29,0,Summer,9357,14801,17604.0
2020-07-17,19923,24.6,29.7,18.5,0.0,18.9,None,0,6,7,17,29,0,Summer,17263,16912,18034.14285714286
2020-07-18,22991,27.1,32.6,22.8,0.0,28.8,None,0,7,7,18,29,1,Summer,19923,23072,18022.571428571428
2020-07-19,14582,26.3,31.0,22.1,13.1,36.7,None,0,1,7,19,29,1,Summer,22991,22680,16865.714285714286
2020-07-20,16023,23.5,26.3,20.2,0.0,17.9,None,0,2,7,20,30,0,Summer,14582,16633,16778.571428571428
2020-07-21,12546,24.0,27.3,21.9,4.7,19.5,None,0,3,7,21,30,0,Summer,16023,17311,16097.857142857143
2020-07-22,17332,24.6,28.6,21.5,1.5,16.7,None,0,4,7,22,30,0,Summer,12546,9357,17237.14285714286
2020-07-23,18586,22.0,24.2,19.5,0.1,20.0,None,0,5,7,23,30,0,Summer,17332,17263,17426.14285714286
2020-07-24,20673,22.4,25.5,18.1,0.0,16.2,None,0,6,7,24,30,0,Summer,18586,19923,17533.285714285714
2020-07-25,26410,25.2,30.3,18.9,0.0,14.8,None,0,7,7,25,30,1,Summer,20673,22991,18021.714285714286
2020-07-26,19811,27.7,32.8,22.6,4.1,24.0,None,0,1,7,26,30,1,Summer,26410,14582,18768.714285714286
2020-07-27,15074,25.1,28.7,21.8,15.7,17.0,None,0,2,7,27,31,0,Summer,19811,16023,18633.14285714286
2020-07-28,18182,24.4,28.8,19.3,0.1,22.2,None,0,3,7,28,31,0,Summer,15074,12546,19438.285714285714
2020-07-29,15483,24.5,29.0,21.3,1.3,22.8,None,0,4,7,29,31,0,Summer,18182,17332,19174.14285714286
2020-07-30,17846,22.6,25.3,20.0,1.6,33.7,None,0,5,7,30,31,0,Summer,15483,18586,19068.428571428572
2020-07-31,21676,22.0,24.5,19.3,0.0,23.7,None,0,6,7,31,31,0,Summer,17846,20673,19211.714285714286
2020-08-01,23256,22.1,23.9,20.5,4.5,16.1,None,0,7,8,1,31,1,Summer,21676,26410,18761.14285714286
2020-08-02,15367,22.3,27.0,19.7,10.9,17.3,None,0,1,8,2,31,1,Summer,23256,19811,18126.285714285714
2020-08-03,13039,19.1,20.9,17.9,1.4,33.0,None,0,2,8,3,32,0,Summer,15367,15074,17835.571428571428
2020-08-04,17746,18.1,19.7,15.7,0.3,27.8,None,0,3,8,4,32,0,Summer,13039,18182,17773.285714285714
2020-08-05,17856,18.8,23.3,12.4,0.0,12.6,None,0,4,8,5,32,0,Summer,17746,15483,18112.285714285714
2020-08-06,19837,20.6,24.4,15.6,0.0,15.3,None,0,5,8,6,32,0,Summer,17856,17846,18396.714285714286
2020-08-07,22584,21.6,26.1,15.4,0.0,17.1,None,0,6,8,7,32,0,Summer,19837,21676,18526.428571428572
2020-08-08,28709,25.0,31.7,18.6,0.0,25.5,None,0,7,8,8,32,1,Summer,22584,23256,19305.428571428572
2020-08-09,23200,26.8,33.0,22.0,12.8,26.7,None,0,1,8,9,32,1,Summer,28709,15367,20424.428571428572
2020-08-10,9747,24.5,29.6,21.3,7.5,23.5,None,0,2,8,10,33,0,Summer,23200,13039,19954.14285714286
2020-08-11,17835,22.2,25.3,18.9,0.0,15.2,None,0,3,8,11,33,0,Summer,9747,17746,19966.85714285714
2020-08-12,18418,21.7,25.3,16.8,0.0,14.3,None,0,4,8,12,33,0,Summer,17835,17856,20047.14285714286
2020-08-13,18646,23.0,25.9,19.5,0.0,16.6,None,0,5,8,13,33,0,Summer,18418,19837,19877.0
2020-08-14,20396,23.7,27.3,19.9,0.0,19.3,None,0,6,8,14,33,0,Summer,18646,22584,19564.428571428572
2020-08-15,23469,23.9,28.6,19.9,1.2,18.9,None,0,7,8,15,33,1,Summer,20396,28709,18815.85714285714
2020-08-16,24522,22.4,25.3,18.4,0.2,22.3,None,0,1,8,16,33,1,Summer,23469,23200,19004.714285714286
2020-08-17,17144,23.1,26.2,18.8,0.0,16.6,None,0,2,8,17,34,0,Summer,24522,9747,20061.428571428572
2020-08-18,19278,21.5,22.7,19.1,0.0,24.0,None,0,3,8,18,34,0,Summer,17144,17835,20267.571428571428
2020-08-19,19624,20.9,24.3,16.2,0.0,22.4,None,0,4,8,19,34,0,Summer,19278,18418,20439.85714285714
2020-08-20,20037,22.8,29.4,15.3,0.0,13.9,None,0,5,8,20,34,0,Summer,19624,18646,20638.571428571428
2020-08-21,22521,23.7,29.5,17.6,0.0,11.9,None,0,6,8,21,34,0,Summer,20037,20396,20942.14285714286
2020-08-22,28882,24.8,31.1,18.0,0.0,19.0,None,0,7,8,22,34,1,Summer,22521,23469,21715.428571428572
2020-08-23,20542,25.2,31.6,19.6,0.7,19.2,None,0,1,8,23,34,1,Summer,28882,24522,21146.85714285714
2020-08-24,16372,28.1,35.4,21.3,0.2,22.0,None,0,2,8,24,35,0,Summer,20542,17144,21036.571428571428
2020-08-25,17519,24.3,26.5,22.1,4.0,34.5,None,0,3,8,25,35,0,Summer,16372,19278,20785.285714285714
2020-08-26,18439,27.9,33.6,22.6,0.0,24.4,None,0,4,8,26,35,0,Summer,17519,19624,20616.0
2020-08-27,17008,27.4,32.1,24.0,3.3,24.0,None,0,5,8,27,35,0,Summer,18439,20037,20183.285714285714
2020-08-28,19899,26.7,31.2,23.5,2.2,20.7,None,0,6,8,28,35,0,Summer,17008,22521,19808.714285714286
2020-08-29,28297,23.7,27.1,20.4,0.5,26.3,None,0,7,8,29,35,1,Summer,19899,28882,19725.14285714286
2020-08-30,24790,21.1,23.1,18.8,0.0,19.1,None,0,1,8,30,35,1,Summer,28297,20542,20332.0
2020-08-31,17382,23.8,30.5,18.4,0.3,22.8,None,0,2,8,31,36,0,Summer,24790,16372,20476.285714285714
2020-09-01,10708,21.5,22.5,20.4,4.9,19.9,None,0,3,9,1,36,0,Autumn,17382,17519,19503.285714285714
2020-09-02,19594,23.5,29.3,19.6,0.0,26.8,None,0,4,9,2,36,0,Autumn,10708,18439,19668.285714285714
2020-09-03,19030,23.1,29.8,18.1,0.0,39.1,None,0,5,9,3,36,0,Autumn,19594,17008,19957.14285714286
2020-09-04,22253,19.4,25.6,13.2,0.0,26.0,None,0,6,9,4,36,0,Autumn,19030,19899,20293.428571428572
2020-09-05,28719,21.5,27.2,17.0,0.0,32.4,Labor Day Weekend,1,7,9,5,36,1,Autumn,22253,28297,20353.714285714286
2020-09-06,17207,20.6,27.6,16.0,19.6,37.5,Labor Day Weekend,1,1,9,6,36,1,Autumn,28719,24790,19270.428571428572
2020-09-07,23731,20.4,22.7,17.1,3.0,34.7,Labor Day,1,2,9,7,37,0,Autumn,17207,17382,20177.428571428572
2020-09-08,6835,17.7,18.8,16.7,33.0,32.0,None,0,3,9,8,37,0,Autumn,23731,10708,19624.14285714286
2020-09-09,12545,17.4,19.0,16.5,4.7,27.2,None,0,4,9,9,37,0,Autumn,6835,19594,18617.14285714286
2020-09-10,10529,16.9,17.8,16.5,6.0,27.3,None,0,5,9,10,37,0,Autumn,12545,19030,17402.714285714286
2020-09-11,14832,18.1,20.1,16.7,3.1,22.3,None,0,6,9,11,37,0,Autumn,10529,22253,16342.57142857143
2020-09-12,11164,19.3,22.4,17.2,30.9,22.2,None,0,7,9,12,37,1,Autumn,14832,28719,13834.714285714286
2020-09-13,23970,18.6,23.0,15.0,0.0,17.4,None,0,1,9,13,37,1,Autumn,11164,17207,14800.857142857143
2020-09-14,15170,18.6,21.6,15.8,0.0,12.8,None,0,2,9,14,38,0,Autumn,23970,23731,13577.857142857143
2020-09-15,18228,19.3,24.9,14.4,0.0,21.0,None,0,3,9,15,38,0,Autumn,15170,6835,15205.42857142857
2020-09-16,19258,20.6,26.7,15.0,0.3,23.4,None,0,4,9,16,38,0,Autumn,18228,12545,16164.42857142857
2020-09-17,17094,17.6,20.1,15.3,0.3,28.3,None,0,5,9,17,38,0,Autumn,19258,10529,17102.285714285714
2020-09-18,16987,13.5,15.3,10.4,0.1,28.0,None,0,6,9,18,38,0,Autumn,17094,14832,17410.14285714286
2020-09-19,23356,12.5,15.6,8.8,0.0,14.2,None,0,7,9,19,38,1,Autumn,16987,11164,19151.85714285714
2020-09-20,21134,15.3,20.8,10.0,0.0,20.4,None,0,1,9,20,38,1,Autumn,23356,23970,18746.714285714286
2020-09-21,15791,16.9,22.8,11.4,0.0,20.1,None,0,2,9,21,39,0,Autumn,21134,15170,18835.428571428572
2020-09-22,17948,18.3,25.1,11.9,0.0,15.5,None,0,3,9,22,39,0,Autumn,15791,18228,18795.428571428572
2020-09-23,18531,19.3,25.0,14.0,0.0,17.3,None,0,4,9,23,39,0,Autumn,17948,19258,18691.571428571428
2020-09-24,19027,19.7,25.6,14.1,0.0,20.4,None,0,5,9,24,39,0,Autumn,18531,17094,18967.714285714286
2020-09-25,22771,20.6,26.7,14.3,0.0,23.1,None,0,6,9,25,39,0,Autumn,19027,16987,19794.0
2020-09-26,26150,22.1,28.4,16.9,0.0,37.6,None,0,7,9,26,39,1,Autumn,22771,23356,20193.14285714286
2020-09-27,20874,20.9,26.1,14.9,0.1,34.2,None,0,1,9,27,39,1,Autumn,26150,21134,20156.0
2020-09-28,11110,13.9,17.3,11.4,7.6,26.1,None,0,2,9,28,40,0,Autumn,20874,15791,19487.285714285714
2020-09-29,14294,12.1,15.6,8.4,0.0,22.0,None,0,3,9,29,40,0,Autumn,11110,17948,18965.285714285714
2020-09-30,14118,13.6,18.3,10.9,0.4,43.2,None,0,4,9,30,40,0,Autumn,14294,18531,18334.85714285714
2020-10-01,11243,10.7,13.8,8.5,5.2,23.8,None,0,5,10,1,40,0,Autumn,14118,19027,17222.85714285714
2020-10-02,14832,9.5,12.7,7.8,0.1,22.7,None,0,6,10,2,40,0,Autumn,11243,22771,16088.714285714286
2020-10-03,14634,9.8,13.9,6.5,2.8,15.8,None,0,7,10,3,40,1,Autumn,14832,26150,14443.57142857143
2020-10-04,12875,8.8,11.7,6.4,2.4,27.2,None,0,1,10,4,40,1,Autumn,14634,20874,13300.857142857143
2020-10-05,12533,9.6,15.3,3.2,0.0,29.1,None,0,2,10,5,41,0,Autumn,12875,11110,13504.142857142857
2020-10-06,16126,15.1,21.5,10.2,0.0,25.3,None,0,3,10,6,41,0,Autumn,12533,14294,13765.857142857143
2020-10-07,17471,17.8,22.5,13.3,0.0,32.6,None,0,4,10,7,41,0,Autumn,16126,14118,14244.857142857143
2020-10-08,16519,13.4,18.2,8.5,0.0,20.8,None,0,5,10,8,41,0,Autumn,17471,11243,14998.57142857143
2020-10-09,21322,18.6,26.1,10.9,0.0,34.2,None,0,6,10,9,41,0,Autumn,16519,14832,15925.714285714286
2020-10-10,24935,18.1,23.9,13.8,0.2,28.0,None,0,7,10,10,41,1,Autumn,21322,14634,17397.285714285714
2020-10-11,19713,16.5,19.4,14.0,0.9,25.5,None,0,1,10,11,41,1,Autumn,24935,12875,18374.14285714286
2020-10-12,9764,15.6,22.4,10.4,8.2,38.5,Columbus Day,1,2,10,12,42,0,Autumn,19713,12533,17978.571428571428
2020-10-13,15626,13.3,20.2,7.6,0.0,36.2,None,0,3,10,13,42,0,Autumn,9764,16126,17907.14285714286
2020-10-14,15358,14.8,21.9,6.8,0.0,40.1,None,0,4,10,14,42,0,Autumn,15626,17471,17605.285714285714
2020-10-15,12565,11.1,16.5,6.0,0.2,36.0,None,0,5,10,15,42,0,Autumn,15358,16519,17040.428571428572
2020-10-16,11856,7.2,11.0,3.5,0.0,27.5,None,0,6,10,16,42,0,Autumn,12565,21322,15688.142857142857
2020-10-17,14521,10.2,16.6,3.2,0.0,42.8,None,0,7,10,17,42,1,Autumn,11856,24935,14200.42857142857
2020-10-18,5222,9.1,14.0,4.7,7.4,33.1,None,0,1,10,18,42,1,Autumn,14521,19713,12130.285714285714
2020-10-19,7468,6.7,9.9,4.8,5.4,23.0,None,0,2,10,19,43,0,Autumn,5222,9764,11802.285714285714
2020-10-20,9273,8.8,11.9,6.0,3.2,23.6,None,0,3,10,20,43,0,Autumn,7468,15626,10894.714285714286
2020-10-21,10302,10.4,12.5,8.1,1.7,23.2,None,0,4,10,21,43,0,Autumn,9273,15358,10172.42857142857
2020-10-22,13228,16.8,24.0,11.3,15.3,35.4,None,0,5,10,22,43,0,Autumn,10302,12565,10267.142857142857
2020-10-23,7042,12.9,20.3,4.7,16.5,32.4,None,0,6,10,23,43,0,Autumn,13228,11856,9579.42857142857
2020-10-24,12452,4.9,6.4,2.8,0.0,23.3,None,0,7,10,24,43,1,Autumn,7042,14521,9283.857142857143
2020-10-25,8627,7.3,8.2,5.8,0.4,23.8,None,0,1,10,25,43,1,Autumn,12452,5222,9770.285714285714
2020-10-26,6611,3.6,7.1,2.3,2.9,29.6,None,0,2,10,26,44,0,Autumn,8627,7468,9647.857142857143
2020-10-27,6178,2.6,3.1,1.7,2.4,16.1,None,0,3,10,27,44,0,Autumn,6611,9273,9205.714285714286
2020-10-28,9661,4.6,10.6,-0.2,0.0,21.9,None,0,4,10,28,44,0,Autumn,6178,10302,9114.142857142857
2020-10-29,8139,6.3,9.2,3.6,0.2,41.5,None,0,5,10,29,44,0,Autumn,9661,13228,8387.142857142857
2020-10-30,9378,2.3,4.6,0.2,0.0,23.0,None,0,6,10,30,44,0,Autumn,8139,7042,8720.857142857143
2020-10-31,13179,6.6,12.9,0.3,0.0,35.9,None,0,7,10,31,44,1,Autumn,9378,12452,8824.714285714286
2020-11-01,5973,4.0,11.6,-0.4,0.0,41.2,None,0,1,11,1,44,1,Autumn,13179,8627,8445.57142857143
2020-11-02,8116,2.9,9.1,-3.0,0.0,32.7,None,0,2,11,2,45,0,Autumn,5973,6611,8660.57142857143
2020-11-03,11987,10.1,17.6,3.9,0.0,26.8,None,0,3,11,3,45,0,Autumn,8116,6178,9490.42857142857
2020-11-04,12030,14.7,20.2,10.2,0.0,30.0,None,0,4,11,4,45,0,Autumn,11987,9661,9828.857142857143
2020-11-05,12459,15.5,19.4,12.7,0.0,24.2,None,0,5,11,5,45,0,Autumn,12030,8139,10446.0
2020-11-06,16044,15.0,21.5,9.6,0.0,23.8,None,0,6,11,6,45,0,Autumn,12459,9378,11398.285714285714
2020-11-07,23846,15.3,21.1,11.1,0.0,24.8,None,0,7,11,7,45,1,Autumn,16044,13179,12922.142857142857
2020-11-08,18439,17.6,23.4,12.6,0.2,26.0,None,0,1,11,8,45,1,Autumn,23846,5973,14703.0
2020-11-09,14098,19.4,22.3,16.4,0.1,32.6,None,0,2,11,9,46,0,Autumn,18439,8116,15557.57142857143
